contract_id,award_id,start_date,end_date,delivery_status,variations
CTR-2024-00072,AWD-2024-00072,2024-10-11,2025-01-14,Completed,0.0
CTR-2026-00073,AWD-2026-00073,2026-07-30,2026-08-29,In Progress,0.0
CTR-2026-00074,AWD-2026-00074,2026-01-20,2026-03-04,Completed,0.0
CTR-2024-00075,AWD-2024-00075,2024-09-29,2025-03-07,Completed,0.0
CTR-2025-00076,AWD-2024-00076,2025-01-03,2025-05-30,Delayed,0.0
CTR-2026-00077,AWD-2026-00077,2026-06-22,2026-10-16,In Progress,0.0
CTR-2026-00078,AWD-2026-00078,2026-02-14,2026-08-09,In Progress,0.0
CTR-2025-00079,AWD-2025-00079,2025-08-25,2025-09-30,Completed,0.0
CTR-2026-00080,AWD-2026-00080,2026-07-11,2026-12-21,Delayed,0.0
CTR-2026-00081,AWD-2026-00081,2026-01-06,2026-04-18,Completed,0.0
CTR-2024-00082,AWD-2024-00082,2024-12-14,2025-05-15,Completed,0.0
CTR-2025-00083,AWD-2025-00083,2025-12-12,2026-04-27,Delayed,0.0
CTR-2025-00084,AWD-2025-00084,2025-07-03,2025-09-24,Completed,0.0
CTR-2025-00085,AWD-2025-00085,2025-09-15,2025-12-19,In Progress,0.0
CTR-2025-00086,AWD-2025-00086,2025-04-05,2025-07-07,In Progress,0.0
CTR-2025-00087,AWD-2025-00087,2025-04-13,2025-10-10,Delayed,0.0
CTR-2025-00088,AWD-2025-00088,2025-08-28,2026-01-28,Completed,0.0
CTR-2026-00089,AWD-2026-00089,2026-07-11,2026-12-05,In Progress,0.0
CTR-2024-00090,AWD-2024-00090,2024-10-11,2024-12-07,Completed,0.0
CTR-2026-00091,AWD-2026-00091,2026-07-10,2027-01-03,In Progress,0.0
CTR-2025-00092,AWD-2024-00092,2025-01-02,2025-06-19,Completed,0.0
CTR-2025-00093,AWD-2025-00093,2025-04-21,2025-07-31,Completed,0.0
CTR-2025-00094,AWD-2025-00094,2025-07-06,2025-11-07,Completed,302000.0
CTR-2025-00095,AWD-2025-00095,2025-03-14,2025-07-22,Completed,0.0
CTR-2026-00096,AWD-2026-00096,2026-08-15,2027-01-21,Completed,0.0
CTR-2025-00097,AWD-2025-00097,2025-12-14,2026-03-17,Completed,292000.0
CTR-2024-00098,AWD-2024-00098,2024-09-02,2025-02-14,Delayed,394000.0
CTR-2026-00099,AWD-2026-00099,2026-08-02,2026-10-22,In Progress,0.0
CTR-2026-00100,AWD-2026-00100,2026-05-19,2026-07-20,Completed,0.0
CTR-2026-00101,AWD-2026-00101,2026-01-16,2026-03-23,Completed,0.0
CTR-2024-00102,AWD-2024-00102,2024-09-12,2025-01-16,In Progress,0.0
CTR-2025-00103,AWD-2025-00103,2025-01-10,2025-05-27,In Progress,0.0
CTR-2024-00104,AWD-2024-00104,2024-10-02,2025-02-23,Completed,0.0
CTR-2025-00105,AWD-2025-00105,2025-03-23,2025-09-15,In Progress,0.0
CTR-2026-00106,AWD-2026-00106,2026-06-23,2026-11-01,In Progress,0.0
CTR-2024-00107,AWD-2024-00107,2024-11-14,2025-03-09,Completed,0.0
CTR-2024-00108,AWD-2024-00108,2024-08-30,2025-01-11,Completed,0.0
CTR-2025-00109,AWD-2025-00109,2025-07-11,2025-11-13,Completed,0.0
CTR-2025-00110,AWD-2025-00110,2025-10-19,2026-03-20,Completed,0.0
CTR-2026-00111,AWD-2026-00111,2026-01-06,2026-04-19,In Progress,0.0
CTR-2026-00112,AWD-2026-00112,2026-07-27,2026-10-21,Completed,0.0
CTR-2025-00113,AWD-2025-00113,2025-10-23,2026-04-20,Completed,0.0
CTR-2026-00114,AWD-2026-00114,2026-04-05,2026-09-07,Delayed,0.0
CTR-2025-00115,AWD-2025-00115,2025-04-18,2025-07-23,Completed,0.0
CTR-2025-00116,AWD-2025-00116,2025-06-01,2025-10-31,Completed,0.0
CTR-2026-00117,AWD-2026-00117,2026-08-17,2027-02-03,Completed,0.0
CTR-2025-00118,AWD-2025-00118,2025-06-25,2025-11-26,Completed,0.0
CTR-2026-00119,AWD-2026-00119,2026-06-23,2026-08-01,Completed,0.0
CTR-2026-00120,AWD-2026-00120,2026-07-13,2026-12-20,Completed,0.0
CTR-2026-00121,AWD-2026-00121,2026-07-29,2026-11-06,Delayed,0.0
CTR-2025-00122,AWD-2025-00122,2025-12-06,2026-03-08,Completed,0.0
CTR-2025-00123,AWD-2025-00123,2025-02-17,2025-03-23,Completed,0.0
CTR-2025-00124,AWD-2025-00124,2025-05-10,2025-10-11,Completed,399000.0
CTR-2026-00125,AWD-2026-00125,2026-08-23,2026-12-08,In Progress,0.0
CTR-2025-00126,AWD-2025-00126,2025-08-03,2026-01-16,Completed,0.0
CTR-2025-00127,AWD-2025-00127,2025-01-16,2025-06-16,Completed,163000.0
CTR-2025-00128,AWD-2025-00128,2025-06-13,2025-09-12,Completed,0.0
CTR-2026-00129,AWD-2026-00129,2026-04-08,2026-06-24,Completed,0.0
CTR-2024-00130,AWD-2024-00130,2024-09-13,2024-12-01,In Progress,0.0
CTR-2026-00131,AWD-2026-00131,2026-01-30,2026-07-16,Completed,0.0
CTR-2024-00132,AWD-2024-00132,2024-09-07,2024-10-12,Completed,0.0
CTR-2025-00133,AWD-2025-00133,2025-12-31,2026-04-25,Completed,0.0
CTR-2026-00134,AWD-2026-00134,2026-08-20,2026-11-11,Completed,0.0
CTR-2025-00135,AWD-2025-00135,2025-02-16,2025-07-22,Completed,0.0
CTR-2024-00136,AWD-2024-00136,2024-10-31,2025-02-27,In Progress,0.0
CTR-2025-00137,AWD-2025-00137,2025-01-13,2025-05-28,In Progress,0.0
CTR-2025-00138,AWD-2025-00138,2025-04-28,2025-08-03,Completed,0.0
CTR-2026-00139,AWD-2026-00139,2026-01-07,2026-04-02,Completed,0.0
CTR-2025-00140,AWD-2025-00140,2025-09-23,2026-03-21,Completed,0.0
CTR-2026-00141,AWD-2026-00141,2026-08-12,2026-12-17,Completed,0.0
CTR-2025-00142,AWD-2025-00142,2025-02-16,2025-04-07,In Progress,0.0
CTR-2025-00143,AWD-2025-00143,2025-10-28,2026-01-26,Completed,0.0
CTR-2025-00144,AWD-2025-00144,2025-05-05,2025-08-23,In Progress,0.0
CTR-2026-00145,AWD-2026-00145,2026-08-16,2027-02-12,In Progress,0.0
CTR-2026-00146,AWD-2026-00146,2026-03-03,2026-04-27,Completed,0.0
CTR-2025-00147,AWD-2025-00147,2025-11-13,2026-01-31,Completed,0.0
CTR-2025-00148,AWD-2025-00148,2025-10-03,2025-12-18,Completed,0.0
CTR-2025-00149,AWD-2025-00149,2025-09-21,2026-01-03,Completed,0.0
CTR-2025-00150,AWD-2025-00150,2025-12-24,2026-05-05,Completed,0.0
CTR-2025-00151,AWD-2025-00151,2025-10-26,2026-01-15,In Progress,0.0
CTR-2026-00152,AWD-2026-00152,2026-08-27,2027-02-17,Completed,0.0
CTR-2025-00153,AWD-2025-00153,2025-05-02,2025-06-03,Completed,0.0
CTR-2025-00154,AWD-2025-00154,2025-01-24,2025-06-02,In Progress,0.0
CTR-2026-00155,AWD-2026-00155,2026-02-04,2026-03-28,Completed,0.0
CTR-2025-00156,AWD-2025-00156,2025-11-19,2025-12-25,Completed,92000.0
CTR-2025-00157,AWD-2025-00157,2025-02-15,2025-08-06,In Progress,0.0
CTR-2025-00158,AWD-2025-00158,2025-02-09,2025-06-05,Completed,469000.0
CTR-2026-00159,AWD-2026-00159,2026-05-03,2026-08-04,Completed,0.0
CTR-2025-00160,AWD-2025-00160,2025-07-13,2025-12-19,Completed,0.0
CTR-2025-00161,AWD-2025-00161,2025-01-07,2025-04-16,Completed,0.0
CTR-2026-00162,AWD-2026-00162,2026-04-12,2026-06-02,Completed,0.0
CTR-2026-00163,AWD-2026-00163,2026-03-09,2026-07-02,Completed,0.0
CTR-2026-00164,AWD-2025-00164,2026-01-05,2026-05-31,In Progress,0.0
CTR-2025-00165,AWD-2025-00165,2025-11-06,2025-12-20,Completed,104000.0
CTR-2026-00166,AWD-2026-00166,2026-05-27,2026-11-06,Completed,0.0
CTR-2024-00167,AWD-2024-00167,2024-09-27,2024-11-08,In Progress,0.0
CTR-2024-00168,AWD-2024-00168,2024-10-13,2025-03-24,Completed,0.0
CTR-2025-00169,AWD-2025-00169,2025-06-14,2025-11-02,Completed,247000.0
CTR-2025-00170,AWD-2025-00170,2025-02-08,2025-04-09,Completed,0.0
CTR-2026-00171,AWD-2026-00171,2026-07-20,2026-10-14,Delayed,0.0
CTR-2025-00172,AWD-2025-00172,2025-10-03,2026-02-22,Completed,0.0
CTR-2026-00173,AWD-2026-00173,2026-02-26,2026-05-15,Completed,0.0
CTR-2026-00174,AWD-2026-00174,2026-05-04,2026-08-13,Completed,0.0
CTR-2025-00175,AWD-2025-00175,2025-05-27,2025-07-31,Completed,0.0
CTR-2025-00176,AWD-2025-00176,2025-01-24,2025-05-19,Completed,0.0
CTR-2025-00177,AWD-2025-00177,2025-09-24,2025-11-08,Delayed,0.0
CTR-2025-00178,AWD-2025-00178,2025-03-23,2025-08-27,Completed,0.0
CTR-2025-00179,AWD-2025-00179,2025-11-24,2026-01-28,In Progress,0.0
CTR-2024-00180,AWD-2024-00180,2024-12-30,2025-02-04,In Progress,0.0
CTR-2026-00181,AWD-2026-00181,2026-02-02,2026-03-13,Completed,0.0
CTR-2024-00182,AWD-2024-00182,2024-09-30,2025-01-26,Delayed,0.0
CTR-2026-00183,AWD-2026-00183,2026-06-08,2026-12-02,In Progress,0.0
CTR-2026-00184,AWD-2025-00184,2026-01-05,2026-06-02,Completed,0.0
CTR-2026-00185,AWD-2026-00185,2026-01-17,2026-06-18,Completed,0.0
CTR-2026-00186,AWD-2026-00186,2026-06-21,2026-09-03,Completed,0.0
CTR-2025-00187,AWD-2025-00187,2025-05-16,2025-08-01,Completed,0.0
CTR-2025-00188,AWD-2025-00188,2025-03-13,2025-05-12,In Progress,0.0
CTR-2024-00189,AWD-2024-00189,2024-12-16,2025-03-02,Completed,0.0
CTR-2026-00190,AWD-2026-00190,2026-03-11,2026-06-07,Completed,0.0
CTR-2026-00191,AWD-2026-00191,2026-04-29,2026-07-11,Completed,0.0
CTR-2025-00192,AWD-2025-00192,2025-09-08,2025-10-12,Delayed,0.0
CTR-2025-00193,AWD-2025-00193,2025-01-06,2025-04-13,In Progress,0.0
CTR-2026-00194,AWD-2026-00194,2026-05-01,2026-09-02,Completed,0.0
CTR-2025-00195,AWD-2025-00195,2025-09-23,2026-03-06,In Progress,0.0
CTR-2025-00196,AWD-2025-00196,2025-11-25,2025-12-30,In Progress,0.0
CTR-2026-00197,AWD-2026-00197,2026-08-24,2026-12-30,Completed,430000.0
CTR-2025-00198,AWD-2025-00198,2025-01-13,2025-02-20,Completed,0.0
CTR-2026-00199,AWD-2026-00199,2026-06-02,2026-09-03,Delayed,0.0
CTR-2025-00200,AWD-2025-00200,2025-10-26,2026-03-17,Completed,0.0
CTR-2026-00201,AWD-2026-00201,2026-01-15,2026-05-24,Completed,122000.0
CTR-2026-00202,AWD-2026-00202,2026-06-15,2026-09-03,Completed,0.0
CTR-2025-00203,AWD-2025-00203,2025-06-11,2025-08-16,In Progress,0.0
CTR-2025-00204,AWD-2025-00204,2025-08-18,2025-12-10,Completed,0.0
CTR-2025-00205,AWD-2025-00205,2025-03-09,2025-06-04,Completed,0.0
CTR-2026-00206,AWD-2026-00206,2026-06-28,2026-09-29,In Progress,0.0
CTR-2026-00207,AWD-2026-00207,2026-03-18,2026-04-24,Completed,0.0
CTR-2025-00208,AWD-2025-00208,2025-03-26,2025-09-04,Completed,0.0
CTR-2026-00209,AWD-2026-00209,2026-03-21,2026-06-19,Completed,0.0
CTR-2024-00210,AWD-2024-00210,2024-09-20,2024-12-18,Completed,0.0
CTR-2024-00211,AWD-2024-00211,2024-10-15,2025-01-09,Completed,0.0
CTR-2025-00212,AWD-2025-00212,2025-11-05,2026-02-26,Completed,0.0
CTR-2026-00213,AWD-2026-00213,2026-07-19,2026-10-23,Delayed,0.0
CTR-2025-00214,AWD-2025-00214,2025-09-27,2025-10-29,Delayed,0.0
CTR-2025-00215,AWD-2025-00215,2025-07-05,2025-10-02,Completed,0.0
CTR-2025-00216,AWD-2025-00216,2025-08-18,2026-02-02,Delayed,0.0
CTR-2025-00217,AWD-2025-00217,2025-09-28,2026-02-25,Completed,0.0
CTR-2024-00218,AWD-2024-00218,2024-12-14,2025-04-16,In Progress,0.0
CTR-2024-00219,AWD-2024-00219,2024-10-17,2025-03-19,Completed,373000.0
CTR-2024-00220,AWD-2024-00220,2024-12-15,2025-03-11,In Progress,282000.0
CTR-2026-00221,AWD-2026-00221,2026-01-30,2026-03-05,Completed,0.0
CTR-2025-00222,AWD-2025-00222,2025-11-28,2026-03-30,In Progress,0.0
CTR-2024-00223,AWD-2024-00223,2024-08-29,2025-01-25,Completed,0.0
CTR-2025-00224,AWD-2025-00224,2025-09-14,2026-01-17,Completed,303000.0
CTR-2024-00225,AWD-2024-00225,2024-09-22,2025-02-19,Completed,0.0
CTR-2024-00226,AWD-2024-00226,2024-12-14,2025-04-18,In Progress,0.0
CTR-2024-00227,AWD-2024-00227,2024-09-11,2024-11-10,In Progress,0.0
CTR-2025-00228,AWD-2025-00228,2025-09-22,2025-12-23,In Progress,0.0
CTR-2026-00229,AWD-2026-00229,2026-04-21,2026-06-13,Completed,0.0
CTR-2026-00230,AWD-2026-00230,2026-05-27,2026-09-17,Completed,0.0
CTR-2026-00231,AWD-2026-00231,2026-07-25,2026-11-30,In Progress,0.0
CTR-2025-00232,AWD-2025-00232,2025-08-18,2026-01-31,Completed,0.0
CTR-2026-00233,AWD-2026-00233,2026-07-31,2026-11-01,Completed,0.0
CTR-2024-00234,AWD-2024-00234,2024-09-25,2024-12-06,In Progress,0.0
CTR-2026-00235,AWD-2026-00235,2026-02-05,2026-06-13,Completed,257000.0
CTR-2026-00236,AWD-2026-00236,2026-08-19,2026-10-18,Completed,0.0
CTR-2026-00237,AWD-2026-00237,2026-03-05,2026-05-02,Completed,0.0
CTR-2025-00238,AWD-2025-00238,2025-04-06,2025-08-29,Completed,470000.0
CTR-2024-00239,AWD-2024-00239,2024-11-29,2025-04-20,Completed,0.0
CTR-2025-00240,AWD-2025-00240,2025-08-25,2025-12-01,Completed,0.0
CTR-2025-00241,AWD-2025-00241,2025-03-27,2025-06-09,Completed,0.0
CTR-2026-00242,AWD-2026-00242,2026-04-11,2026-08-21,Completed,0.0
CTR-2026-00243,AWD-2026-00243,2026-07-04,2026-10-07,In Progress,0.0
CTR-2025-00244,AWD-2025-00244,2025-12-18,2026-06-13,In Progress,0.0
CTR-2026-00245,AWD-2026-00245,2026-05-10,2026-07-19,Completed,0.0
CTR-2024-00246,AWD-2024-00246,2024-11-26,2025-01-26,Completed,0.0
CTR-2025-00247,AWD-2025-00247,2025-03-04,2025-08-16,Completed,479000.0
CTR-2024-00248,AWD-2024-00248,2024-11-12,2025-01-28,Completed,0.0
CTR-2024-00249,AWD-2024-00249,2024-09-23,2024-11-09,In Progress,0.0
CTR-2026-00250,AWD-2026-00250,2026-04-07,2026-09-18,Completed,0.0
CTR-2024-00251,AWD-2024-00251,2024-10-18,2024-12-13,Completed,0.0
CTR-2024-00252,AWD-2024-00252,2024-09-25,2024-12-02,Completed,0.0
CTR-2025-00253,AWD-2025-00253,2025-07-15,2025-12-26,Delayed,0.0
CTR-2025-00254,AWD-2025-00254,2025-05-16,2025-09-29,Completed,0.0
CTR-2024-00255,AWD-2024-00255,2024-08-30,2025-02-26,Completed,0.0
CTR-2025-00256,AWD-2025-00256,2025-04-01,2025-07-04,Completed,0.0
CTR-2025-00257,AWD-2025-00257,2025-04-22,2025-07-01,Completed,0.0
CTR-2025-00258,AWD-2025-00258,2025-03-05,2025-06-22,In Progress,0.0
CTR-2025-00259,AWD-2025-00259,2025-11-13,2026-01-22,Completed,15000.0
CTR-2026-00260,AWD-2026-00260,2026-01-28,2026-07-11,Completed,0.0
CTR-2025-00261,AWD-2025-00261,2025-07-31,2026-01-08,Completed,0.0
CTR-2025-00262,AWD-2025-00262,2025-07-01,2025-07-31,Completed,325000.0
CTR-2024-00263,AWD-2024-00263,2024-09-17,2025-02-25,Completed,0.0
CTR-2024-00264,AWD-2024-00264,2024-12-26,2025-05-29,In Progress,0.0
CTR-2024-00265,AWD-2024-00265,2024-09-24,2024-11-20,Completed,0.0
CTR-2026-00266,AWD-2026-00266,2026-06-16,2026-10-28,In Progress,0.0
CTR-2025-00267,AWD-2025-00267,2025-01-09,2025-03-21,Completed,0.0
CTR-2025-00268,AWD-2025-00268,2025-11-15,2026-03-20,Delayed,0.0
CTR-2026-00269,AWD-2026-00269,2026-04-06,2026-05-26,In Progress,0.0
CTR-2024-00270,AWD-2024-00270,2024-12-04,2025-05-11,In Progress,0.0
CTR-2024-00271,AWD-2024-00271,2024-11-15,2025-02-23,Delayed,0.0
CTR-2026-00272,AWD-2026-00272,2026-03-19,2026-06-16,Completed,0.0
CTR-2024-00273,AWD-2024-00273,2024-12-22,2025-04-22,In Progress,0.0
CTR-2026-00274,AWD-2026-00274,2026-08-10,2026-12-19,Completed,0.0
CTR-2025-00275,AWD-2025-00275,2025-04-10,2025-07-25,Completed,0.0
CTR-2024-00276,AWD-2024-00276,2024-09-05,2025-03-03,Completed,0.0
CTR-2025-00277,AWD-2025-00277,2025-06-25,2025-10-20,Completed,0.0
CTR-2025-00278,AWD-2025-00278,2025-02-14,2025-03-21,Completed,140000.0
CTR-2026-00279,AWD-2026-00279,2026-03-26,2026-08-01,Completed,0.0
CTR-2025-00280,AWD-2025-00280,2025-10-09,2025-12-30,Completed,0.0
CTR-2026-00281,AWD-2026-00281,2026-01-08,2026-03-19,Completed,0.0
CTR-2025-00282,AWD-2025-00282,2025-08-02,2026-01-28,Completed,0.0
CTR-2024-00283,AWD-2024-00283,2024-09-08,2024-12-26,Completed,0.0
CTR-2024-00284,AWD-2024-00284,2024-11-28,2025-05-16,Completed,0.0
CTR-2026-00285,AWD-2026-00285,2026-05-30,2026-09-24,In Progress,0.0
CTR-2024-00286,AWD-2024-00286,2024-10-19,2025-04-08,Completed,190000.0
CTR-2026-00287,AWD-2026-00287,2026-03-11,2026-07-27,Completed,0.0
CTR-2025-00288,AWD-2025-00288,2025-06-19,2025-10-13,Completed,0.0
CTR-2025-00289,AWD-2025-00289,2025-02-16,2025-05-02,Completed,0.0
CTR-2025-00290,AWD-2025-00290,2025-12-15,2026-04-21,Completed,0.0
CTR-2025-00291,AWD-2025-00291,2025-10-01,2025-11-08,Completed,0.0
CTR-2025-00292,AWD-2025-00292,2025-09-11,2026-01-16,In Progress,0.0
CTR-2025-00293,AWD-2025-00293,2025-02-17,2025-07-21,In Progress,0.0
CTR-2026-00294,AWD-2026-00294,2026-04-17,2026-08-12,Completed,0.0
CTR-2025-00295,AWD-2025-00295,2025-12-12,2026-04-15,Completed,188000.0
CTR-2024-00296,AWD-2024-00296,2024-10-02,2024-11-27,In Progress,0.0
CTR-2025-00297,AWD-2025-00297,2025-04-12,2025-05-28,Completed,0.0
CTR-2024-00298,AWD-2024-00298,2024-10-26,2025-02-19,Completed,0.0
CTR-2024-00299,AWD-2024-00299,2024-09-19,2025-03-01,Completed,0.0
CTR-2025-00300,AWD-2025-00300,2025-10-11,2025-11-27,In Progress,0.0
CTR-2025-00301,AWD-2025-00301,2025-08-09,2025-11-07,Completed,0.0
CTR-2024-00302,AWD-2024-00302,2024-09-26,2025-02-25,Completed,0.0
CTR-2025-00303,AWD-2025-00303,2025-04-26,2025-08-25,Completed,0.0
CTR-2025-00304,AWD-2025-00304,2025-10-09,2025-11-12,Completed,214000.0
CTR-2025-00305,AWD-2025-00305,2025-12-01,2026-04-03,Completed,0.0
CTR-2025-00306,AWD-2025-00306,2025-08-08,2025-11-24,Completed,0.0
CTR-2025-00307,AWD-2025-00307,2025-09-24,2025-11-24,Completed,0.0
CTR-2026-00308,AWD-2026-00308,2026-03-04,2026-05-19,Completed,204000.0
CTR-2025-00309,AWD-2025-00309,2025-07-29,2026-01-05,Completed,0.0
CTR-2024-00310,AWD-2024-00310,2024-11-20,2025-03-28,In Progress,192000.0
CTR-2026-00311,AWD-2026-00311,2026-05-14,2026-07-29,Completed,0.0
CTR-2025-00312,AWD-2025-00312,2025-09-16,2026-02-27,In Progress,0.0
CTR-2026-00313,AWD-2026-00313,2026-03-13,2026-08-14,Completed,0.0
CTR-2025-00314,AWD-2025-00314,2025-08-19,2026-01-02,Completed,0.0
CTR-2024-00315,AWD-2024-00315,2024-09-24,2024-12-22,In Progress,0.0
CTR-2024-00316,AWD-2024-00316,2024-11-15,2025-02-22,Delayed,0.0
CTR-2025-00317,AWD-2025-00317,2025-10-20,2026-02-21,Completed,0.0
CTR-2025-00318,AWD-2025-00318,2025-08-14,2025-09-14,Delayed,0.0
CTR-2026-00319,AWD-2026-00319,2026-07-03,2026-12-25,Delayed,0.0
CTR-2026-00320,AWD-2026-00320,2026-07-31,2026-11-09,Delayed,0.0
CTR-2026-00321,AWD-2026-00321,2026-02-04,2026-05-20,In Progress,0.0
CTR-2026-00322,AWD-2026-00322,2026-08-12,2027-01-01,Delayed,0.0
CTR-2025-00323,AWD-2025-00323,2025-02-11,2025-07-18,Completed,0.0
CTR-2025-00324,AWD-2025-00324,2025-02-08,2025-05-13,Completed,0.0
CTR-2025-00325,AWD-2025-00325,2025-10-08,2025-12-17,Completed,250000.0
CTR-2025-00326,AWD-2025-00326,2025-02-11,2025-03-27,In Progress,413000.0
CTR-2025-00327,AWD-2025-00327,2025-05-13,2025-11-08,Completed,0.0
CTR-2024-00328,AWD-2024-00328,2024-12-14,2025-01-25,In Progress,0.0
