requisition_id,department,category,estimated_value,raised_date,status
PR-2026-00092,Executive Admin,Office Consumables,11880000.0,2026-02-20,Awarded
PR-2026-00093,IT & Infrastructure,Office Consumables,9010000.0,2026-01-03,Awarded
PR-2025-00094,IT & Infrastructure,Media & PR,30870000.0,2025-10-21,Awarded
PR-2025-00095,Procurement & Logistics,Software Licenses,33210000.0,2025-08-17,Bidding
PR-2024-00096,Risk & Compliance,Office Consumables,39450000.0,2024-09-23,Awarded
PR-2026-00097,Executive Admin,Hardware Procurement,24210000.0,2026-07-10,Awarded
PR-2026-00098,Procurement & Logistics,Software Licenses,27930000.0,2026-06-09,Bidding
PR-2025-00099,IT & Infrastructure,Software Licenses,8300000.0,2025-12-25,Awarded
PR-2024-00100,Executive Admin,Field Survey Services,43900000.0,2024-09-09,Awarded
PR-2024-00101,Procurement & Logistics,Hardware Procurement,22570000.0,2024-10-05,Bidding
PR-2024-00102,Risk & Compliance,Media & PR,2760000.0,2024-12-13,Awarded
PR-2026-00103,Executive Admin,Media & PR,26560000.0,2026-06-02,Awarded
PR-2026-00104,Executive Admin,Media & PR,22160000.0,2026-01-25,Awarded
PR-2025-00105,Lending Operations,Hardware Procurement,17000000.0,2025-05-27,Bidding
PR-2024-00106,Procurement & Logistics,Software Licenses,10450000.0,2024-10-18,Cancelled
PR-2025-00107,IT & Infrastructure,Software Licenses,6370000.0,2025-08-08,Awarded
PR-2025-00108,Lending Operations,Field Survey Services,44010000.0,2025-12-27,Bidding
PR-2024-00109,Procurement & Logistics,Media & PR,32850000.0,2024-08-28,Bidding
PR-2026-00110,IT & Infrastructure,Software Licenses,14590000.0,2026-07-27,Bidding
PR-2026-00111,IT & Infrastructure,Field Survey Services,14880000.0,2026-06-15,Awarded
PR-2024-00112,IT & Infrastructure,Media & PR,16010000.0,2024-09-17,Cancelled
PR-2025-00113,Risk & Compliance,Office Consumables,30260000.0,2025-12-22,Awarded
PR-2024-00114,Lending Operations,Software Licenses,16440000.0,2024-11-28,Awarded
PR-2025-00115,Executive Admin,Media & PR,38830000.0,2025-11-16,Awarded
PR-2026-00116,IT & Infrastructure,Field Survey Services,24580000.0,2026-02-14,Bidding
PR-2024-00117,Executive Admin,Media & PR,19760000.0,2024-10-30,Cancelled
PR-2025-00118,Lending Operations,Office Consumables,11450000.0,2025-06-06,Awarded
PR-2025-00119,Lending Operations,Software Licenses,14560000.0,2025-08-26,Awarded
PR-2025-00120,Executive Admin,Office Consumables,20680000.0,2025-03-12,Awarded
PR-2025-00121,IT & Infrastructure,Software Licenses,37420000.0,2025-03-26,Awarded
PR-2025-00122,Executive Admin,Hardware Procurement,18130000.0,2025-08-06,Awarded
PR-2026-00123,IT & Infrastructure,Software Licenses,42530000.0,2026-06-18,Awarded
PR-2024-00124,Lending Operations,Software Licenses,43820000.0,2024-09-21,Awarded
PR-2026-00125,Lending Operations,Office Consumables,8170000.0,2026-06-24,Awarded
PR-2024-00126,Lending Operations,Hardware Procurement,34020000.0,2024-12-15,Awarded
PR-2025-00127,Procurement & Logistics,Field Survey Services,34010000.0,2025-03-26,Awarded
PR-2025-00128,Executive Admin,Software Licenses,33300000.0,2025-06-14,Awarded
PR-2025-00129,Risk & Compliance,Media & PR,44660000.0,2025-02-24,Awarded
PR-2026-00130,Risk & Compliance,Office Consumables,23620000.0,2026-07-23,Awarded
PR-2025-00131,Executive Admin,Media & PR,9480000.0,2025-11-19,Awarded
PR-2026-00132,Executive Admin,Field Survey Services,850000.0,2026-05-26,Bidding
PR-2024-00133,IT & Infrastructure,Hardware Procurement,37000000.0,2024-08-10,Awarded
PR-2024-00134,IT & Infrastructure,Software Licenses,23660000.0,2024-10-05,Cancelled
PR-2026-00135,Procurement & Logistics,Software Licenses,29100000.0,2026-07-09,Awarded
PR-2026-00136,Risk & Compliance,Hardware Procurement,24760000.0,2026-05-01,Awarded
PR-2025-00137,Procurement & Logistics,Office Consumables,44420000.0,2025-12-28,Awarded
PR-2025-00138,IT & Infrastructure,Software Licenses,2670000.0,2025-06-05,Bidding
PR-2024-00139,Procurement & Logistics,Hardware Procurement,38970000.0,2024-08-22,Awarded
PR-2025-00140,IT & Infrastructure,Office Consumables,40090000.0,2025-11-01,Bidding
PR-2024-00141,Lending Operations,Software Licenses,22360000.0,2024-12-19,Awarded
PR-2024-00142,Risk & Compliance,Office Consumables,38720000.0,2024-09-09,Awarded
PR-2026-00143,Risk & Compliance,Office Consumables,41330000.0,2026-04-21,Bidding
PR-2025-00144,Risk & Compliance,Hardware Procurement,22550000.0,2025-02-26,Awarded
PR-2026-00145,Executive Admin,Software Licenses,27760000.0,2026-06-04,Awarded
PR-2026-00146,Risk & Compliance,Hardware Procurement,4200000.0,2026-04-25,Bidding
PR-2024-00147,Lending Operations,Office Consumables,20240000.0,2024-10-24,Awarded
PR-2024-00148,Risk & Compliance,Media & PR,2190000.0,2024-08-06,Awarded
PR-2025-00149,Procurement & Logistics,Media & PR,920000.0,2025-06-18,Awarded
PR-2025-00150,Lending Operations,Office Consumables,28010000.0,2025-09-30,Awarded
PR-2026-00151,Procurement & Logistics,Hardware Procurement,20720000.0,2026-02-21,Bidding
PR-2025-00152,Lending Operations,Office Consumables,27540000.0,2025-12-17,Awarded
PR-2025-00153,Executive Admin,Office Consumables,41060000.0,2025-07-08,Bidding
PR-2025-00154,Risk & Compliance,Field Survey Services,44210000.0,2025-10-26,Bidding
PR-2026-00155,Procurement & Logistics,Office Consumables,24730000.0,2026-07-06,Awarded
PR-2025-00156,Lending Operations,Media & PR,19310000.0,2025-10-07,Awarded
PR-2026-00157,IT & Infrastructure,Field Survey Services,26250000.0,2026-03-17,Awarded
PR-2025-00158,Risk & Compliance,Hardware Procurement,9400000.0,2025-04-19,Bidding
PR-2025-00159,Procurement & Logistics,Field Survey Services,10060000.0,2025-04-02,Awarded
PR-2025-00160,Risk & Compliance,Office Consumables,29140000.0,2025-05-12,Awarded
PR-2026-00161,Executive Admin,Field Survey Services,3210000.0,2026-07-23,Awarded
PR-2025-00162,IT & Infrastructure,Field Survey Services,28800000.0,2025-07-05,Bidding
PR-2025-00163,Executive Admin,Field Survey Services,19870000.0,2025-06-06,Awarded
PR-2026-00164,Risk & Compliance,Media & PR,3780000.0,2026-05-27,Awarded
PR-2026-00165,IT & Infrastructure,Software Licenses,5520000.0,2026-06-20,Bidding
PR-2026-00166,IT & Infrastructure,Field Survey Services,40500000.0,2026-06-27,Awarded
PR-2025-00167,Executive Admin,Software Licenses,6150000.0,2025-03-05,Bidding
PR-2025-00168,IT & Infrastructure,Field Survey Services,42840000.0,2025-08-05,Bidding
PR-2026-00169,Lending Operations,Hardware Procurement,36630000.0,2026-07-04,Awarded
PR-2025-00170,Lending Operations,Office Consumables,36090000.0,2025-11-19,Awarded
PR-2025-00171,Risk & Compliance,Field Survey Services,6540000.0,2025-01-30,Awarded
PR-2025-00172,IT & Infrastructure,Software Licenses,32040000.0,2025-04-23,Awarded
PR-2026-00173,Lending Operations,Office Consumables,18510000.0,2026-06-14,Bidding
PR-2026-00174,IT & Infrastructure,Software Licenses,32960000.0,2026-08-03,Awarded
PR-2025-00175,Risk & Compliance,Media & PR,30500000.0,2025-09-21,Bidding
PR-2025-00176,Lending Operations,Field Survey Services,29880000.0,2025-07-12,Awarded
PR-2026-00177,Executive Admin,Software Licenses,43030000.0,2026-05-19,Cancelled
PR-2025-00178,Procurement & Logistics,Media & PR,9190000.0,2025-05-13,Cancelled
PR-2024-00179,Procurement & Logistics,Media & PR,12930000.0,2024-12-26,Awarded
PR-2026-00180,Risk & Compliance,Office Consumables,17540000.0,2026-05-21,Bidding
PR-2025-00181,Lending Operations,Media & PR,17540000.0,2025-05-27,Awarded
PR-2026-00182,Procurement & Logistics,Media & PR,13830000.0,2026-03-16,Awarded
PR-2024-00183,Risk & Compliance,Office Consumables,15470000.0,2024-08-20,Awarded
PR-2026-00184,Lending Operations,Hardware Procurement,30190000.0,2026-01-06,Awarded
PR-2024-00185,IT & Infrastructure,Field Survey Services,27210000.0,2024-08-19,Awarded
PR-2025-00186,Risk & Compliance,Hardware Procurement,21480000.0,2025-12-07,Awarded
PR-2026-00187,Executive Admin,Media & PR,5430000.0,2026-06-15,Bidding
PR-2026-00188,Procurement & Logistics,Field Survey Services,17400000.0,2026-07-27,Awarded
PR-2025-00189,Lending Operations,Media & PR,37010000.0,2025-01-27,Awarded
PR-2024-00190,IT & Infrastructure,Hardware Procurement,13130000.0,2024-10-08,Awarded
PR-2024-00191,Procurement & Logistics,Media & PR,38340000.0,2024-12-21,Awarded
PR-2025-00192,Risk & Compliance,Field Survey Services,24280000.0,2025-04-09,Awarded
PR-2024-00193,Executive Admin,Hardware Procurement,2570000.0,2024-09-10,Cancelled
PR-2025-00194,Procurement & Logistics,Software Licenses,16180000.0,2025-12-22,Awarded
PR-2025-00195,Lending Operations,Software Licenses,42950000.0,2025-09-01,Awarded
PR-2026-00196,Risk & Compliance,Office Consumables,7590000.0,2026-07-22,Awarded
PR-2025-00197,Executive Admin,Office Consumables,21110000.0,2025-01-23,Awarded
PR-2025-00198,Risk & Compliance,Software Licenses,26410000.0,2025-09-07,Bidding
PR-2025-00199,IT & Infrastructure,Office Consumables,36880000.0,2025-10-07,Awarded
PR-2025-00200,Procurement & Logistics,Office Consumables,31610000.0,2025-04-13,Awarded
PR-2026-00201,Procurement & Logistics,Office Consumables,27960000.0,2026-08-01,Awarded
PR-2026-00202,Procurement & Logistics,Software Licenses,25330000.0,2026-02-06,Awarded
PR-2025-00203,IT & Infrastructure,Field Survey Services,3870000.0,2025-10-23,Awarded
PR-2026-00204,Risk & Compliance,Software Licenses,5450000.0,2026-07-07,Bidding
PR-2025-00205,Lending Operations,Office Consumables,6500000.0,2025-09-13,Awarded
PR-2024-00206,Procurement & Logistics,Field Survey Services,20100000.0,2024-12-25,Cancelled
PR-2025-00207,Executive Admin,Office Consumables,15940000.0,2025-09-01,Awarded
PR-2025-00208,IT & Infrastructure,Hardware Procurement,30320000.0,2025-12-07,Awarded
PR-2026-00209,Executive Admin,Software Licenses,23670000.0,2026-06-23,Bidding
PR-2025-00210,IT & Infrastructure,Field Survey Services,37560000.0,2025-10-07,Awarded
PR-2026-00211,Risk & Compliance,Office Consumables,20730000.0,2026-08-01,Bidding
PR-2026-00212,Risk & Compliance,Field Survey Services,40540000.0,2026-07-31,Awarded
PR-2025-00213,Risk & Compliance,Field Survey Services,30040000.0,2025-04-08,Awarded
PR-2025-00214,IT & Infrastructure,Office Consumables,43590000.0,2025-01-03,Awarded
PR-2026-00215,Executive Admin,Field Survey Services,18770000.0,2026-01-11,Awarded
PR-2025-00216,Procurement & Logistics,Hardware Procurement,25790000.0,2025-10-29,Awarded
PR-2025-00217,Lending Operations,Office Consumables,25730000.0,2025-01-27,Awarded
PR-2026-00218,Risk & Compliance,Hardware Procurement,18870000.0,2026-07-09,Bidding
PR-2024-00219,IT & Infrastructure,Office Consumables,10840000.0,2024-12-22,Bidding
PR-2025-00220,Risk & Compliance,Hardware Procurement,42450000.0,2025-01-20,Awarded
PR-2025-00221,Lending Operations,Media & PR,25290000.0,2025-04-02,Bidding
PR-2026-00222,Risk & Compliance,Office Consumables,10170000.0,2026-06-11,Bidding
PR-2026-00223,Executive Admin,Media & PR,10570000.0,2026-04-16,Awarded
PR-2025-00224,Risk & Compliance,Media & PR,4460000.0,2025-06-24,Awarded
PR-2024-00225,Procurement & Logistics,Media & PR,35220000.0,2024-12-15,Awarded
PR-2026-00226,Executive Admin,Office Consumables,37680000.0,2026-03-16,Awarded
PR-2026-00227,Procurement & Logistics,Software Licenses,31680000.0,2026-02-16,Awarded
PR-2025-00228,Lending Operations,Office Consumables,29180000.0,2025-12-14,Awarded
PR-2025-00229,Lending Operations,Office Consumables,6580000.0,2025-10-18,Awarded
PR-2026-00230,Risk & Compliance,Office Consumables,9630000.0,2026-05-09,Awarded
PR-2024-00231,Lending Operations,Media & PR,11720000.0,2024-09-08,Awarded
PR-2024-00232,Procurement & Logistics,Hardware Procurement,18730000.0,2024-10-03,Bidding
PR-2024-00233,Procurement & Logistics,Software Licenses,23090000.0,2024-09-19,Awarded
PR-2025-00234,IT & Infrastructure,Hardware Procurement,6590000.0,2025-05-30,Awarded
PR-2025-00235,Lending Operations,Media & PR,27530000.0,2025-01-19,Awarded
PR-2026-00236,Procurement & Logistics,Media & PR,1790000.0,2026-06-26,Awarded
PR-2025-00237,Executive Admin,Field Survey Services,24750000.0,2025-09-08,Awarded
PR-2026-00238,IT & Infrastructure,Hardware Procurement,25060000.0,2026-02-04,Awarded
PR-2026-00239,Procurement & Logistics,Hardware Procurement,34510000.0,2026-04-12,Awarded
PR-2025-00240,Procurement & Logistics,Office Consumables,19880000.0,2025-05-07,Awarded
PR-2024-00241,Lending Operations,Hardware Procurement,21650000.0,2024-12-31,Awarded
PR-2025-00242,Lending Operations,Hardware Procurement,23820000.0,2025-09-06,Awarded
PR-2025-00243,Risk & Compliance,Hardware Procurement,5170000.0,2025-03-07,Awarded
PR-2025-00244,Risk & Compliance,Hardware Procurement,37190000.0,2025-11-05,Awarded
PR-2024-00245,Executive Admin,Media & PR,14250000.0,2024-12-14,Awarded
PR-2026-00246,Risk & Compliance,Field Survey Services,6800000.0,2026-01-17,Awarded
PR-2024-00247,Executive Admin,Software Licenses,25500000.0,2024-09-09,Awarded
PR-2025-00248,Risk & Compliance,Media & PR,13020000.0,2025-12-20,Bidding
PR-2026-00249,IT & Infrastructure,Office Consumables,35510000.0,2026-01-15,Bidding
PR-2026-00250,IT & Infrastructure,Office Consumables,23460000.0,2026-05-19,Awarded
PR-2026-00251,IT & Infrastructure,Office Consumables,10220000.0,2026-05-03,Bidding
PR-2025-00252,Risk & Compliance,Hardware Procurement,34730000.0,2025-12-14,Awarded
PR-2025-00253,IT & Infrastructure,Field Survey Services,35630000.0,2025-12-28,Awarded
PR-2026-00254,Lending Operations,Field Survey Services,23170000.0,2026-05-30,Awarded
PR-2026-00255,Lending Operations,Hardware Procurement,5630000.0,2026-04-25,Cancelled
PR-2025-00256,Executive Admin,Hardware Procurement,11170000.0,2025-04-23,Awarded
PR-2025-00257,Executive Admin,Media & PR,27200000.0,2025-02-19,Awarded
PR-2024-00258,IT & Infrastructure,Media & PR,33960000.0,2024-11-25,Awarded
PR-2026-00259,Lending Operations,Field Survey Services,20190000.0,2026-02-21,Awarded
PR-2026-00260,Procurement & Logistics,Hardware Procurement,42440000.0,2026-07-11,Bidding
PR-2026-00261,Risk & Compliance,Software Licenses,28320000.0,2026-04-11,Awarded
PR-2025-00262,Risk & Compliance,Hardware Procurement,32850000.0,2025-12-18,Bidding
PR-2025-00263,Lending Operations,Hardware Procurement,13940000.0,2025-12-28,Bidding
PR-2025-00264,Risk & Compliance,Software Licenses,14610000.0,2025-08-20,Awarded
PR-2024-00265,Executive Admin,Field Survey Services,31310000.0,2024-12-21,Awarded
PR-2026-00266,Executive Admin,Media & PR,22470000.0,2026-04-09,Awarded
PR-2025-00267,Procurement & Logistics,Field Survey Services,43960000.0,2025-09-05,Awarded
PR-2025-00268,Lending Operations,Media & PR,3520000.0,2025-11-04,Awarded
PR-2025-00269,Executive Admin,Media & PR,21300000.0,2025-12-28,Bidding
PR-2026-00270,IT & Infrastructure,Software Licenses,42890000.0,2026-08-02,Awarded
PR-2024-00271,Executive Admin,Field Survey Services,35100000.0,2024-12-18,Awarded
PR-2026-00272,IT & Infrastructure,Field Survey Services,9690000.0,2026-05-09,Awarded
PR-2025-00273,Risk & Compliance,Hardware Procurement,11090000.0,2025-10-11,Awarded
PR-2025-00274,Risk & Compliance,Media & PR,33820000.0,2025-12-26,Awarded
PR-2026-00275,Executive Admin,Software Licenses,31470000.0,2026-05-24,Awarded
PR-2025-00276,Risk & Compliance,Software Licenses,23960000.0,2025-05-15,Awarded
PR-2025-00277,Procurement & Logistics,Hardware Procurement,13670000.0,2025-07-29,Awarded
PR-2025-00278,Procurement & Logistics,Media & PR,9930000.0,2025-08-31,Bidding
PR-2025-00279,Executive Admin,Hardware Procurement,32620000.0,2025-02-17,Awarded
PR-2024-00280,Procurement & Logistics,Field Survey Services,32800000.0,2024-11-25,Bidding
PR-2026-00281,IT & Infrastructure,Office Consumables,37280000.0,2026-06-10,Awarded
PR-2024-00282,IT & Infrastructure,Office Consumables,16270000.0,2024-09-29,Bidding
PR-2026-00283,Risk & Compliance,Hardware Procurement,29340000.0,2026-02-21,Awarded
PR-2025-00284,IT & Infrastructure,Media & PR,31420000.0,2025-03-02,Awarded
PR-2025-00285,Lending Operations,Media & PR,27380000.0,2025-09-04,Bidding
PR-2026-00286,Risk & Compliance,Media & PR,15590000.0,2026-03-02,Awarded
PR-2024-00287,Executive Admin,Office Consumables,11740000.0,2024-09-05,Awarded
PR-2024-00288,Lending Operations,Software Licenses,17910000.0,2024-09-30,Awarded
PR-2025-00289,Executive Admin,Hardware Procurement,33560000.0,2025-10-15,Awarded
PR-2026-00290,Executive Admin,Software Licenses,17970000.0,2026-06-30,Awarded
PR-2025-00291,Executive Admin,Office Consumables,3890000.0,2025-11-17,Bidding
PR-2025-00292,Procurement & Logistics,Media & PR,43720000.0,2025-02-16,Bidding
PR-2025-00293,Procurement & Logistics,Office Consumables,30530000.0,2025-10-30,Cancelled
PR-2024-00294,Executive Admin,Software Licenses,2040000.0,2024-12-29,Bidding
PR-2025-00295,Lending Operations,Hardware Procurement,5160000.0,2025-09-12,Awarded
PR-2025-00296,Lending Operations,Hardware Procurement,9900000.0,2025-06-16,Awarded
PR-2025-00297,Risk & Compliance,Software Licenses,2970000.0,2025-07-22,Awarded
PR-2025-00298,Lending Operations,Hardware Procurement,8170000.0,2025-09-07,Bidding
PR-2025-00299,IT & Infrastructure,Software Licenses,38920000.0,2025-06-27,Bidding
PR-2025-00300,Lending Operations,Hardware Procurement,28260000.0,2025-09-06,Awarded
PR-2024-00301,Procurement & Logistics,Office Consumables,34040000.0,2024-11-28,Awarded
PR-2024-00302,Lending Operations,Field Survey Services,21880000.0,2024-09-27,Awarded
PR-2024-00303,Executive Admin,Software Licenses,22780000.0,2024-11-26,Awarded
PR-2026-00304,Lending Operations,Software Licenses,5810000.0,2026-01-06,Awarded
PR-2025-00305,Risk & Compliance,Field Survey Services,23190000.0,2025-11-04,Awarded
PR-2025-00306,IT & Infrastructure,Hardware Procurement,34040000.0,2025-12-24,Bidding
PR-2024-00307,Risk & Compliance,Hardware Procurement,23850000.0,2024-08-07,Awarded
PR-2025-00308,IT & Infrastructure,Software Licenses,30810000.0,2025-08-25,Awarded
PR-2024-00309,Procurement & Logistics,Software Licenses,9640000.0,2024-09-01,Awarded
PR-2024-00310,Executive Admin,Hardware Procurement,6700000.0,2024-11-28,Awarded
PR-2025-00311,Risk & Compliance,Software Licenses,15100000.0,2025-12-10,Bidding
PR-2026-00312,Risk & Compliance,Office Consumables,34050000.0,2026-01-20,Bidding
PR-2024-00313,Risk & Compliance,Hardware Procurement,37790000.0,2024-08-20,Awarded
PR-2026-00314,Lending Operations,Hardware Procurement,34580000.0,2026-04-09,Cancelled
PR-2025-00315,Lending Operations,Hardware Procurement,29520000.0,2025-09-07,Awarded
PR-2026-00316,Procurement & Logistics,Office Consumables,21650000.0,2026-03-31,Awarded
PR-2026-00317,Procurement & Logistics,Media & PR,29840000.0,2026-05-05,Awarded
PR-2026-00318,Procurement & Logistics,Office Consumables,35520000.0,2026-07-07,Awarded
PR-2025-00319,Procurement & Logistics,Office Consumables,6240000.0,2025-08-04,Awarded
PR-2026-00320,Procurement & Logistics,Software Licenses,36330000.0,2026-07-11,Awarded
PR-2024-00321,Procurement & Logistics,Field Survey Services,2500000.0,2024-09-04,Awarded
PR-2026-00322,Executive Admin,Office Consumables,6600000.0,2026-01-19,Awarded
PR-2025-00323,Risk & Compliance,Field Survey Services,19860000.0,2025-05-14,Cancelled
