award_id,requisition_id,bid_id,vendor_id,awarded_value,award_date,award_justification
AWD-2024-00073,PR-2024-00691,BID-2024-000405,PRC-VND-0080,13228000.0,2024-11-04,Lowest Responsive Bid
AWD-2024-00074,PR-2024-00032,BID-2024-000409,PRC-VND-0045,3620000.0,2024-11-08,Prior Satisfactory Performance
AWD-2024-00075,PR-2024-00030,BID-2024-000416,PRC-VND-0056,9419000.0,2024-11-20,Lowest Responsive Bid
AWD-2024-00076,PR-2024-00031,BID-2024-000421,PRC-VND-0040,29259000.0,2024-11-15,Prior Satisfactory Performance
AWD-2024-00077,PR-2024-00692,BID-2024-000425,PRC-VND-0117,24178000.0,2024-11-10,Lowest Responsive Bid
AWD-2024-00078,PR-2024-00481,BID-2024-000429,PRC-VND-0115,34457000.0,2024-11-19,Lowest Responsive Bid
AWD-2024-00079,PR-2024-00700,BID-2024-000440,PRC-VND-0116,42543000.0,2024-11-18,Lowest Responsive Bid
AWD-2024-00080,PR-2024-00779,BID-2024-000444,PRC-VND-0059,21826000.0,2024-11-21,Lowest Responsive Bid
AWD-2024-00081,PR-2024-00337,BID-2024-000448,PRC-VND-0003,30504000.0,2024-11-15,Lowest Responsive Bid
AWD-2024-00082,PR-2024-00147,BID-2024-000460,PRC-VND-0018,18972000.0,2024-12-03,Lowest Responsive Bid
AWD-2024-00083,PR-2024-00425,BID-2024-000464,PRC-VND-0043,8973000.0,2024-11-22,Best Evaluated Bid - Technical Score
AWD-2024-00084,PR-2024-00433,BID-2024-000473,PRC-VND-0012,15199000.0,2024-11-21,Lowest Responsive Bid
AWD-2024-00085,PR-2024-00370,BID-2024-000487,PRC-VND-0114,39791000.0,2024-11-29,Best Evaluated Bid - Technical Score
AWD-2024-00086,PR-2024-00588,BID-2024-000491,PRC-VND-0024,4896000.0,2024-12-06,Lowest Responsive Bid
AWD-2024-00087,PR-2024-00529,BID-2024-000495,PRC-VND-0023,22991000.0,2024-12-11,Lowest Responsive Bid
AWD-2024-00088,PR-2024-00651,BID-2024-000500,PRC-VND-0079,4863000.0,2024-12-07,Delivery Timeline Advantage
AWD-2024-00089,PR-2024-00659,BID-2024-000505,PRC-VND-0120,38423000.0,2024-12-02,Lowest Responsive Bid
AWD-2024-00090,PR-2024-00742,BID-2024-000512,PRC-VND-0054,14930000.0,2024-12-04,Delivery Timeline Advantage
AWD-2024-00091,PR-2024-00791,BID-2024-000517,PRC-VND-0062,30873000.0,2024-12-11,Delivery Timeline Advantage
AWD-2024-00092,PR-2024-00334,BID-2024-000525,PRC-VND-0123,35167000.0,2024-11-30,Lowest Responsive Bid
AWD-2024-00093,PR-2024-00368,BID-2024-000527,PRC-VND-0047,33747000.0,2024-11-25,Lowest Responsive Bid
AWD-2024-00094,PR-2024-00453,BID-2024-000531,PRC-VND-0115,41334000.0,2024-12-12,Best Evaluated Bid - Technical Score
AWD-2024-00095,PR-2024-00533,BID-2024-000543,PRC-VND-0074,27793000.0,2024-12-15,Lowest Responsive Bid
AWD-2024-00096,PR-2024-00327,BID-2024-000544,PRC-VND-0074,16791000.0,2024-12-06,Lowest Responsive Bid
AWD-2024-00097,PR-2024-00718,BID-2024-000551,PRC-VND-0047,22030000.0,2024-11-30,Lowest Responsive Bid
AWD-2024-00098,PR-2024-00689,BID-2024-000555,PRC-VND-0030,24875000.0,2024-12-02,Lowest Responsive Bid
AWD-2024-00099,PR-2024-00713,BID-2024-000566,PRC-VND-0047,2729000.0,2024-12-13,Lowest Responsive Bid
AWD-2024-00100,PR-2024-00388,BID-2024-000570,PRC-VND-0076,15219000.0,2024-12-06,Lowest Responsive Bid
AWD-2024-00101,PR-2024-00609,BID-2024-000577,PRC-VND-0124,43760000.0,2024-12-22,Lowest Responsive Bid
AWD-2024-00102,PR-2024-00072,BID-2024-000584,PRC-VND-0031,32825000.0,2024-12-27,Best Evaluated Bid - Technical Score
AWD-2024-00103,PR-2024-00485,BID-2024-000591,PRC-VND-0104,14278000.0,2024-12-28,Lowest Responsive Bid
AWD-2024-00104,PR-2024-00088,BID-2024-000594,PRC-VND-0045,3019000.0,2024-12-17,Delivery Timeline Advantage
AWD-2025-00001,PR-2024-00056,BID-2024-000603,PRC-VND-0055,4906000.0,2025-01-02,Delivery Timeline Advantage
AWD-2024-00105,PR-2024-00452,BID-2024-000608,PRC-VND-0078,1585000.0,2024-12-27,Best Evaluated Bid - Technical Score
AWD-2024-00106,PR-2024-00465,BID-2024-000613,PRC-VND-0123,12419000.0,2024-12-25,Lowest Responsive Bid
AWD-2024-00107,PR-2024-00082,BID-2024-000618,PRC-VND-0038,17396000.0,2024-12-18,Lowest Responsive Bid
AWD-2024-00108,PR-2024-00258,BID-2024-000625,PRC-VND-0030,29501000.0,2024-12-20,Lowest Responsive Bid
AWD-2024-00109,PR-2024-00655,BID-2024-000634,PRC-VND-0048,8556000.0,2024-12-27,Prior Satisfactory Performance
AWD-2024-00110,PR-2024-00303,BID-2024-000640,PRC-VND-0092,25060000.0,2024-12-17,Delivery Timeline Advantage
AWD-2024-00111,PR-2024-00114,BID-2024-000645,PRC-VND-0002,15249000.0,2024-12-20,Lowest Responsive Bid
AWD-2024-00112,PR-2024-00301,BID-2024-000648,PRC-VND-0053,29522000.0,2024-12-14,Delivery Timeline Advantage
AWD-2024-00113,PR-2024-00310,BID-2024-000650,PRC-VND-0061,5515000.0,2024-12-13,Lowest Responsive Bid
AWD-2025-00002,PR-2024-00694,BID-2024-000654,PRC-VND-0121,13474000.0,2025-01-06,Lowest Responsive Bid
AWD-2024-00114,PR-2024-00708,BID-2024-000661,PRC-VND-0099,15823000.0,2024-12-26,Best Evaluated Bid - Technical Score
AWD-2024-00115,PR-2024-00374,BID-2024-000669,PRC-VND-0117,16311000.0,2024-12-25,Lowest Responsive Bid
AWD-2024-00116,PR-2024-00509,BID-2024-000672,PRC-VND-0005,6019000.0,2024-12-28,Best Evaluated Bid - Technical Score
AWD-2025-00003,PR-2024-00616,BID-2024-000679,PRC-VND-0016,6632000.0,2025-01-07,Lowest Responsive Bid
AWD-2025-00004,PR-2024-00679,BID-2024-000681,PRC-VND-0020,28369000.0,2025-01-02,Lowest Responsive Bid
AWD-2025-00005,PR-2024-00359,BID-2024-000689,PRC-VND-0119,25420000.0,2025-01-10,Lowest Responsive Bid
AWD-2025-00006,PR-2024-00057,BID-2024-000692,PRC-VND-0092,16159000.0,2025-01-23,Lowest Responsive Bid
AWD-2025-00007,PR-2024-00525,BID-2024-000696,PRC-VND-0031,12834000.0,2025-01-11,Best Evaluated Bid - Technical Score
AWD-2025-00008,PR-2024-00497,BID-2024-000704,PRC-VND-0070,32726000.0,2025-01-15,Lowest Responsive Bid
AWD-2025-00009,PR-2024-00102,BID-2024-000707,PRC-VND-0045,2396000.0,2025-01-02,Lowest Responsive Bid
AWD-2025-00010,PR-2024-00060,BID-2024-000712,PRC-VND-0116,28419000.0,2025-01-28,Lowest Responsive Bid
AWD-2025-00011,PR-2024-00245,BID-2024-000714,PRC-VND-0115,12072000.0,2025-01-10,Lowest Responsive Bid
AWD-2025-00012,PR-2024-00126,BID-2024-000724,PRC-VND-0021,29413000.0,2025-01-25,Lowest Responsive Bid
AWD-2025-00013,PR-2024-00225,BID-2024-000728,PRC-VND-0040,29854000.0,2025-01-08,Lowest Responsive Bid
AWD-2025-00014,PR-2024-00364,BID-2024-000729,PRC-VND-0072,31043000.0,2025-01-04,Prior Satisfactory Performance
AWD-2025-00015,PR-2024-00665,BID-2024-000736,PRC-VND-0100,35974000.0,2025-01-08,Lowest Responsive Bid
AWD-2025-00016,PR-2024-00271,BID-2024-000741,PRC-VND-0104,29992000.0,2025-01-16,Lowest Responsive Bid
AWD-2025-00017,PR-2024-00793,BID-2024-000743,PRC-VND-0113,18556000.0,2025-01-15,Lowest Responsive Bid
AWD-2025-00018,PR-2024-00141,BID-2024-000749,PRC-VND-0087,20868000.0,2025-01-13,Delivery Timeline Advantage
AWD-2025-00019,PR-2024-00191,BID-2024-000760,PRC-VND-0060,35363000.0,2025-01-26,Lowest Responsive Bid
AWD-2025-00020,PR-2024-00265,BID-2024-000762,PRC-VND-0014,28928000.0,2025-01-26,Lowest Responsive Bid
AWD-2025-00021,PR-2024-00590,BID-2024-000772,PRC-VND-0025,33311000.0,2025-01-26,Lowest Responsive Bid
AWD-2025-00022,PR-2024-00707,BID-2024-000776,PRC-VND-0025,5549000.0,2025-01-12,Prior Satisfactory Performance
AWD-2025-00023,PR-2024-00459,BID-2024-000779,PRC-VND-0090,7083000.0,2025-01-16,Best Evaluated Bid - Technical Score
AWD-2025-00024,PR-2024-00768,BID-2024-000783,PRC-VND-0001,17948000.0,2025-01-15,Lowest Responsive Bid
AWD-2025-00025,PR-2024-00179,BID-2024-000786,PRC-VND-0055,13819000.0,2025-01-31,Lowest Responsive Bid
AWD-2025-00026,PR-2024-00781,BID-2024-000788,PRC-VND-0035,48564000.0,2025-01-27,Best Evaluated Bid - Technical Score
AWD-2025-00027,PR-2024-00556,BID-2024-000798,PRC-VND-0031,23699000.0,2025-02-03,Lowest Responsive Bid
AWD-2025-00028,PR-2024-00508,BID-2024-000810,PRC-VND-0093,41026000.0,2025-01-29,Lowest Responsive Bid
AWD-2025-00029,PR-2024-00241,BID-2024-000812,PRC-VND-0091,20768000.0,2025-02-02,Lowest Responsive Bid
AWD-2025-00030,PR-2025-00741,BID-2025-000004,PRC-VND-0079,38829000.0,2025-02-01,Lowest Responsive Bid
AWD-2025-00031,PR-2025-00214,BID-2025-000011,PRC-VND-0068,39179000.0,2025-02-09,Lowest Responsive Bid
AWD-2025-00032,PR-2025-00619,BID-2025-000012,PRC-VND-0023,20256000.0,2025-02-08,Lowest Responsive Bid
AWD-2025-00033,PR-2025-00697,BID-2025-000017,PRC-VND-0047,23286000.0,2025-01-26,Lowest Responsive Bid
AWD-2025-00034,PR-2025-00460,BID-2025-000022,PRC-VND-0121,27664000.0,2025-02-06,Lowest Responsive Bid
AWD-2025-00035,PR-2025-00468,BID-2025-000030,PRC-VND-0020,25916000.0,2025-02-10,Lowest Responsive Bid
AWD-2025-00036,PR-2025-00746,BID-2025-000034,PRC-VND-0128,12154000.0,2025-02-21,Lowest Responsive Bid
AWD-2025-00037,PR-2025-00538,BID-2025-000038,PRC-VND-0103,37382000.0,2025-02-15,Prior Satisfactory Performance
AWD-2025-00038,PR-2025-00548,BID-2025-000043,PRC-VND-0019,7682000.0,2025-02-10,Lowest Responsive Bid
AWD-2025-00039,PR-2025-00065,BID-2025-000047,PRC-VND-0020,3586000.0,2025-02-10,Lowest Responsive Bid
AWD-2025-00040,PR-2025-00448,BID-2025-000052,PRC-VND-0050,28626000.0,2025-02-09,Lowest Responsive Bid
AWD-2025-00041,PR-2025-00235,BID-2025-000054,PRC-VND-0100,25299000.0,2025-02-26,Delivery Timeline Advantage
AWD-2025-00042,PR-2025-00220,BID-2025-000061,PRC-VND-0016,37467000.0,2025-02-10,Lowest Responsive Bid
AWD-2025-00043,PR-2025-00450,BID-2025-000067,PRC-VND-0037,27527000.0,2025-02-16,Lowest Responsive Bid
AWD-2025-00044,PR-2025-00682,BID-2025-000069,PRC-VND-0113,32882000.0,2025-03-02,Lowest Responsive Bid
AWD-2025-00045,PR-2025-00381,BID-2025-000071,PRC-VND-0013,37175000.0,2025-02-23,Lowest Responsive Bid
AWD-2025-00046,PR-2025-00021,BID-2025-000078,PRC-VND-0054,18114000.0,2025-02-24,Lowest Responsive Bid
AWD-2025-00047,PR-2025-00197,BID-2025-000084,PRC-VND-0043,17913000.0,2025-02-18,Lowest Responsive Bid
AWD-2025-00048,PR-2025-00445,BID-2025-000089,PRC-VND-0110,18076000.0,2025-03-01,Best Evaluated Bid - Technical Score
AWD-2025-00049,PR-2025-00567,BID-2025-000098,PRC-VND-0026,18312000.0,2025-02-17,Lowest Responsive Bid
AWD-2025-00050,PR-2025-00035,BID-2025-000102,PRC-VND-0051,15539000.0,2025-03-06,Lowest Responsive Bid
AWD-2025-00051,PR-2025-00026,BID-2025-000112,PRC-VND-0003,14382000.0,2025-03-04,Lowest Responsive Bid
AWD-2025-00052,PR-2025-00189,BID-2025-000115,PRC-VND-0035,34202000.0,2025-02-25,Lowest Responsive Bid
AWD-2025-00053,PR-2025-00217,BID-2025-000117,PRC-VND-0083,27695000.0,2025-02-24,Best Evaluated Bid - Technical Score
AWD-2025-00054,PR-2025-00563,BID-2025-000124,PRC-VND-0029,38168000.0,2025-02-28,Delivery Timeline Advantage
AWD-2025-00055,PR-2025-00621,BID-2025-000132,PRC-VND-0004,35243000.0,2025-02-24,Best Evaluated Bid - Technical Score
AWD-2025-00056,PR-2025-00606,BID-2025-000140,PRC-VND-0087,34878000.0,2025-03-03,Lowest Responsive Bid
AWD-2025-00057,PR-2025-00171,BID-2025-000142,PRC-VND-0079,5594000.0,2025-02-23,Lowest Responsive Bid
AWD-2025-00058,PR-2025-00395,BID-2025-000149,PRC-VND-0082,32275000.0,2025-03-05,Lowest Responsive Bid
AWD-2025-00059,PR-2025-00404,BID-2025-000153,PRC-VND-0009,2201000.0,2025-03-05,Lowest Responsive Bid
AWD-2025-00060,PR-2025-00351,BID-2025-000159,PRC-VND-0008,11410000.0,2025-03-22,Delivery Timeline Advantage
AWD-2025-00061,PR-2025-00709,BID-2025-000163,PRC-VND-0119,26955000.0,2025-03-15,Lowest Responsive Bid
AWD-2025-00062,PR-2025-00335,BID-2025-000172,PRC-VND-0058,30080000.0,2025-03-11,Lowest Responsive Bid
AWD-2025-00063,PR-2025-00663,BID-2025-000179,PRC-VND-0071,9087000.0,2025-03-17,Lowest Responsive Bid
AWD-2025-00064,PR-2025-00004,BID-2025-000180,PRC-VND-0110,27046000.0,2025-03-13,Lowest Responsive Bid
AWD-2025-00065,PR-2025-00473,BID-2025-000184,PRC-VND-0092,7226000.0,2025-03-21,Lowest Responsive Bid
AWD-2025-00066,PR-2025-00067,BID-2025-000190,PRC-VND-0013,27286000.0,2025-03-06,Lowest Responsive Bid
AWD-2025-00067,PR-2025-00279,BID-2025-000205,PRC-VND-0051,28054000.0,2025-03-16,Lowest Responsive Bid
AWD-2025-00068,PR-2025-00531,BID-2025-000208,PRC-VND-0118,10971000.0,2025-03-28,Lowest Responsive Bid
AWD-2025-00069,PR-2025-00257,BID-2025-000211,PRC-VND-0090,28155000.0,2025-03-29,Lowest Responsive Bid
AWD-2025-00070,PR-2025-00765,BID-2025-000218,PRC-VND-0041,7229000.0,2025-03-14,Lowest Responsive Bid
AWD-2025-00071,PR-2025-00733,BID-2025-000220,PRC-VND-0004,18813000.0,2025-04-01,Lowest Responsive Bid
AWD-2025-00072,PR-2025-00129,BID-2025-000228,PRC-VND-0075,38921000.0,2025-04-01,Lowest Responsive Bid
AWD-2025-00073,PR-2025-00693,BID-2025-000229,PRC-VND-0103,9386000.0,2025-04-04,Lowest Responsive Bid
AWD-2025-00074,PR-2025-00144,BID-2025-000234,PRC-VND-0086,18704000.0,2025-03-21,Lowest Responsive Bid
AWD-2025-00075,PR-2025-00284,BID-2025-000246,PRC-VND-0125,28383000.0,2025-04-06,Lowest Responsive Bid
AWD-2025-00076,PR-2025-00329,BID-2025-000249,PRC-VND-0058,13113000.0,2025-03-28,Lowest Responsive Bid
AWD-2025-00077,PR-2025-00530,BID-2025-000252,PRC-VND-0016,19786000.0,2025-04-06,Best Evaluated Bid - Technical Score
AWD-2025-00078,PR-2025-00495,BID-2025-000258,PRC-VND-0023,29878000.0,2025-03-28,Best Evaluated Bid - Technical Score
AWD-2025-00079,PR-2025-00243,BID-2025-000265,PRC-VND-0111,4428000.0,2025-04-03,Lowest Responsive Bid
AWD-2025-00080,PR-2025-00039,BID-2025-000268,PRC-VND-0043,46212000.0,2025-04-04,Best Evaluated Bid - Technical Score
AWD-2025-00081,PR-2025-00687,BID-2025-000272,PRC-VND-0007,35361000.0,2025-04-13,Lowest Responsive Bid
AWD-2025-00082,PR-2025-00348,BID-2025-000279,PRC-VND-0036,2188000.0,2025-04-08,Lowest Responsive Bid
AWD-2025-00083,PR-2025-00569,BID-2025-000281,PRC-VND-0038,9926000.0,2025-03-30,Lowest Responsive Bid
AWD-2025-00084,PR-2025-00120,BID-2025-000285,PRC-VND-0068,21811000.0,2025-04-10,Prior Satisfactory Performance
AWD-2025-00085,PR-2025-00326,BID-2025-000286,PRC-VND-0029,44130000.0,2025-04-15,Prior Satisfactory Performance
AWD-2025-00086,PR-2025-00598,BID-2025-000297,PRC-VND-0118,9723000.0,2025-04-14,Lowest Responsive Bid
AWD-2025-00087,PR-2025-00377,BID-2025-000299,PRC-VND-0015,18884000.0,2025-04-18,Lowest Responsive Bid
AWD-2025-00088,PR-2025-00772,BID-2025-000306,PRC-VND-0106,2837000.0,2025-04-22,Lowest Responsive Bid
AWD-2025-00089,PR-2025-00543,BID-2025-000316,PRC-VND-0079,19305000.0,2025-04-18,Lowest Responsive Bid
AWD-2025-00090,PR-2025-00408,BID-2025-000326,PRC-VND-0060,25680000.0,2025-04-28,Lowest Responsive Bid
AWD-2025-00091,PR-2025-00121,BID-2025-000327,PRC-VND-0107,31665000.0,2025-04-25,Prior Satisfactory Performance
AWD-2025-00092,PR-2025-00127,BID-2025-000332,PRC-VND-0134,30641000.0,2025-04-22,Lowest Responsive Bid
AWD-2025-00093,PR-2025-00532,BID-2025-000341,PRC-VND-0118,6044000.0,2025-04-14,Lowest Responsive Bid
AWD-2025-00094,PR-2025-00516,BID-2025-000344,PRC-VND-0047,11892000.0,2025-04-16,Delivery Timeline Advantage
AWD-2025-00095,PR-2025-00083,BID-2025-000345,PRC-VND-0021,22379000.0,2025-05-03,Lowest Responsive Bid
AWD-2025-00096,PR-2025-00159,BID-2025-000348,PRC-VND-0009,8937000.0,2025-05-07,Lowest Responsive Bid
AWD-2025-00097,PR-2025-00349,BID-2025-000356,PRC-VND-0075,14668000.0,2025-04-28,Delivery Timeline Advantage
AWD-2025-00098,PR-2025-00417,BID-2025-000357,PRC-VND-0037,11025000.0,2025-05-13,Lowest Responsive Bid
AWD-2025-00099,PR-2025-00535,BID-2025-000364,PRC-VND-0071,2005000.0,2025-05-19,Delivery Timeline Advantage
AWD-2025-00100,PR-2025-00213,BID-2025-000369,PRC-VND-0029,29527000.0,2025-05-06,Delivery Timeline Advantage
AWD-2025-00101,PR-2025-00192,BID-2025-000381,PRC-VND-0044,22799000.0,2025-05-11,Lowest Responsive Bid
AWD-2025-00102,PR-2025-00683,BID-2025-000384,PRC-VND-0132,29827000.0,2025-05-16,Lowest Responsive Bid
