variation_id,contract_id,variation_date,variation_amount,reason
VAR-CTR-2025-00181-1,CTR-2025-00181,2025-12-07,3024000.0,Additional Sites
VAR-CTR-2025-00181-2,CTR-2025-00181,2025-12-03,1934000.0,Additional Sites
VAR-CTR-2025-00182-1,CTR-2025-00182,2025-12-26,514000.0,Additional Sites
VAR-CTR-2025-00189-1,CTR-2025-00189,2026-01-04,890000.0,Timeline Extension
VAR-CTR-2025-00193-1,CTR-2025-00193,2025-12-14,1635000.0,Timeline Extension
VAR-CTR-2025-00200-1,CTR-2025-00200,2026-01-02,552000.0,Additional Sites
VAR-CTR-2025-00202-1,CTR-2025-00202,2026-01-22,1034000.0,Additional Sites
VAR-CTR-2025-00215-1,CTR-2025-00215,2025-11-28,1740000.0,Scope Increase
VAR-CTR-2025-00216-1,CTR-2025-00216,2025-11-24,4621000.0,Additional Sites
VAR-CTR-2025-00224-1,CTR-2025-00224,2026-01-10,390000.0,Price Escalation
VAR-CTR-2025-00243-1,CTR-2025-00243,2026-01-28,2123000.0,Timeline Extension
VAR-CTR-2025-00243-2,CTR-2025-00243,2026-02-26,1877000.0,Price Escalation
VAR-CTR-2025-00248-1,CTR-2025-00248,2026-01-12,2309000.0,Price Escalation
VAR-CTR-2025-00248-2,CTR-2025-00248,2026-02-18,4525000.0,Scope Increase
VAR-CTR-2025-00251-1,CTR-2025-00251,2026-03-01,1980000.0,Scope Increase
VAR-CTR-2025-00251-2,CTR-2025-00251,2025-12-17,2776000.0,Price Escalation
VAR-CTR-2025-00252-1,CTR-2025-00252,2026-02-18,3444000.0,Timeline Extension
VAR-CTR-2025-00254-1,CTR-2025-00254,2026-01-26,2936000.0,Scope Increase
VAR-CTR-2025-00256-1,CTR-2025-00256,2026-03-25,4480000.0,Scope Increase
VAR-CTR-2025-00256-2,CTR-2025-00256,2026-03-10,2703000.0,Timeline Extension
VAR-CTR-2025-00259-1,CTR-2025-00259,2026-03-25,3088000.0,Additional Sites
VAR-CTR-2025-00268-1,CTR-2025-00268,2026-01-23,195000.0,Price Escalation
VAR-CTR-2025-00269-1,CTR-2025-00269,2026-02-19,1580000.0,Scope Increase
VAR-CTR-2026-00002-1,CTR-2026-00002,2026-05-06,1585000.0,Timeline Extension
VAR-CTR-2026-00002-2,CTR-2026-00002,2026-04-17,1003000.0,Additional Sites
VAR-CTR-2026-00007-1,CTR-2026-00007,2026-05-09,347000.0,Price Escalation
VAR-CTR-2026-00009-1,CTR-2026-00009,2026-05-16,3716000.0,Additional Sites
VAR-CTR-2026-00018-1,CTR-2026-00018,2026-04-19,2780000.0,Additional Sites
VAR-CTR-2026-00024-1,CTR-2026-00024,2026-03-05,4102000.0,Scope Increase
VAR-CTR-2026-00026-1,CTR-2026-00026,2026-04-04,555000.0,Scope Increase
VAR-CTR-2026-00031-1,CTR-2026-00031,2026-05-11,2751000.0,Price Escalation
VAR-CTR-2026-00031-2,CTR-2026-00031,2026-05-02,3475000.0,Price Escalation
VAR-CTR-2026-00034-1,CTR-2026-00034,2026-02-27,46000.0,Timeline Extension
VAR-CTR-2026-00034-2,CTR-2026-00034,2026-02-27,41000.0,Scope Increase
VAR-CTR-2026-00037-1,CTR-2026-00037,2026-04-12,2350000.0,Additional Sites
VAR-CTR-2026-00037-2,CTR-2026-00037,2026-06-15,726000.0,Timeline Extension
VAR-CTR-2026-00042-1,CTR-2026-00042,2026-04-21,150000.0,Additional Sites
VAR-CTR-2026-00042-2,CTR-2026-00042,2026-06-07,227000.0,Price Escalation
VAR-CTR-2026-00049-1,CTR-2026-00049,2026-04-21,1179000.0,Additional Sites
VAR-CTR-2026-00049-2,CTR-2026-00049,2026-04-25,1223000.0,Scope Increase
VAR-CTR-2026-00052-1,CTR-2026-00052,2026-07-31,1155000.0,Additional Sites
VAR-CTR-2026-00055-1,CTR-2026-00055,2026-06-11,828000.0,Scope Increase
VAR-CTR-2026-00055-2,CTR-2026-00055,2026-05-06,994000.0,Additional Sites
VAR-CTR-2026-00070-1,CTR-2026-00070,2026-07-31,2559000.0,Timeline Extension
VAR-CTR-2026-00070-2,CTR-2026-00070,2026-05-30,1358000.0,Scope Increase
VAR-CTR-2026-00077-1,CTR-2026-00077,2026-06-11,5136000.0,Timeline Extension
VAR-CTR-2026-00095-1,CTR-2026-00095,2026-09-19,3682000.0,Price Escalation
VAR-CTR-2026-00095-2,CTR-2026-00095,2026-07-06,955000.0,Additional Sites
VAR-CTR-2026-00111-1,CTR-2026-00111,2026-09-23,659000.0,Scope Increase
VAR-CTR-2026-00115-1,CTR-2026-00115,2026-10-23,245000.0,Additional Sites
VAR-CTR-2026-00115-2,CTR-2026-00115,2026-08-01,152000.0,Timeline Extension
VAR-CTR-2026-00117-1,CTR-2026-00117,2026-08-10,2014000.0,Price Escalation
VAR-CTR-2026-00118-1,CTR-2026-00118,2026-08-31,1013000.0,Timeline Extension
VAR-CTR-2026-00122-1,CTR-2026-00122,2026-08-25,2751000.0,Timeline Extension
VAR-CTR-2026-00122-2,CTR-2026-00122,2026-09-13,1787000.0,Scope Increase
VAR-CTR-2026-00126-1,CTR-2026-00126,2026-09-23,2798000.0,Scope Increase
VAR-CTR-2026-00131-1,CTR-2026-00131,2026-11-16,1579000.0,Price Escalation
VAR-CTR-2026-00138-1,CTR-2026-00138,2026-11-08,1191000.0,Timeline Extension
VAR-CTR-2026-00138-2,CTR-2026-00138,2026-11-07,1182000.0,Price Escalation
VAR-CTR-2026-00143-1,CTR-2026-00143,2026-09-06,4994000.0,Price Escalation
VAR-CTR-2026-00153-1,CTR-2026-00153,2026-12-01,1607000.0,Timeline Extension
VAR-CTR-2026-00164-1,CTR-2026-00164,2026-10-28,987000.0,Additional Sites
VAR-CTR-2026-00164-2,CTR-2026-00164,2026-09-23,2909000.0,Additional Sites
VAR-CTR-2026-00166-1,CTR-2026-00166,2026-12-04,1577000.0,Timeline Extension
VAR-CTR-2026-00166-2,CTR-2026-00166,2026-10-02,1002000.0,Timeline Extension
VAR-CTR-2026-00168-1,CTR-2026-00168,2026-12-13,3947000.0,Additional Sites
VAR-CTR-2026-00174-1,CTR-2026-00174,2027-01-02,2686000.0,Additional Sites
VAR-CTR-2026-00176-1,CTR-2026-00176,2026-12-21,418000.0,Additional Sites
VAR-CTR-2026-00184-1,CTR-2026-00184,2026-11-04,1626000.0,Scope Increase
VAR-CTR-2026-00185-1,CTR-2026-00185,2026-12-01,3996000.0,Price Escalation
VAR-CTR-2026-00185-2,CTR-2026-00185,2026-12-14,3186000.0,Price Escalation
VAR-CTR-2026-00187-1,CTR-2026-00187,2026-12-25,1810000.0,Scope Increase
