approval_id,application_id,amount_approved,approved_by,approval_date,conditions
APR-2024-000050,APP-2024-000065,3150000.0,OFFICER_18,2024-08-25 17:19:00,Standard Credit Review Met
APR-2024-000051,APP-2024-000069,7270000.0,OFFICER_41,2024-09-01 20:54:00,Standard Credit Review Met
APR-2024-000052,APP-2024-000070,4060000.0,OFFICER_27,2024-09-06 01:05:00,Standard Credit Review Met
APR-2024-000053,APP-2024-000071,7390000.0,OFFICER_20,2024-08-07 10:49:00,Standard Credit Review Met
APR-2024-000054,APP-2024-000073,5130000.0,OFFICER_12,2024-08-11 03:04:00,Standard Credit Review Met
APR-2024-000055,APP-2024-000074,5010000.0,OFFICER_12,2024-08-23 17:09:00,Standard Credit Review Met
APR-2024-000056,APP-2024-000075,1030000.0,OFFICER_25,2024-08-17 01:57:00,Standard Credit Review Met
APR-2024-000057,APP-2024-000076,5030000.0,OFFICER_25,2024-08-16 17:56:00,Standard Credit Review Met
APR-2024-000058,APP-2024-000077,4160000.0,OFFICER_21,2024-08-28 05:56:00,Standard Credit Review Met
APR-2024-000059,APP-2024-000078,2450000.0,OFFICER_27,2024-08-31 13:51:00,Standard Credit Review Met
APR-2024-000060,APP-2024-000079,3990000.0,OFFICER_40,2024-08-28 22:06:00,Standard Credit Review Met
APR-2024-000061,APP-2024-000080,5670000.0,OFFICER_24,2024-08-12 14:22:00,Standard Credit Review Met
APR-2024-000062,APP-2024-000081,7380000.0,OFFICER_14,2024-08-28 06:25:00,Standard Credit Review Met
APR-2024-000063,APP-2024-000082,5210000.0,OFFICER_31,2024-08-22 20:32:00,Standard Credit Review Met
APR-2024-000064,APP-2024-000084,6970000.0,OFFICER_32,2024-08-17 01:06:00,Standard Credit Review Met
APR-2024-000065,APP-2024-000086,3250000.0,OFFICER_37,2024-08-15 18:12:00,Standard Credit Review Met
APR-2024-000066,APP-2024-000087,7050000.0,OFFICER_33,2024-08-22 17:43:00,Standard Credit Review Met
APR-2024-000067,APP-2024-000088,5280000.0,OFFICER_17,2024-08-10 21:58:00,Standard Credit Review Met
APR-2024-000068,APP-2024-000089,6400000.0,OFFICER_35,2024-08-24 09:42:00,Standard Credit Review Met
APR-2024-000069,APP-2024-000090,3610000.0,OFFICER_21,2024-08-26 04:12:00,Standard Credit Review Met
APR-2024-000070,APP-2024-000091,830000.0,OFFICER_29,2024-08-21 09:25:00,Standard Credit Review Met
APR-2024-000071,APP-2024-000092,3540000.0,OFFICER_39,2024-08-14 13:50:00,Standard Credit Review Met
APR-2024-000072,APP-2024-000093,6030000.0,OFFICER_20,2024-08-24 21:13:00,Standard Credit Review Met
APR-2024-000073,APP-2024-000094,7390000.0,OFFICER_15,2024-08-17 16:42:00,Standard Credit Review Met
APR-2024-000074,APP-2024-000095,5380000.0,OFFICER_11,2024-08-26 09:14:00,Standard Credit Review Met
APR-2024-000075,APP-2024-000096,350000.0,OFFICER_36,2024-08-17 15:39:00,Standard Credit Review Met
APR-2024-000076,APP-2024-000097,950000.0,OFFICER_35,2024-08-16 22:44:00,Standard Credit Review Met
APR-2024-000077,APP-2024-000099,420000.0,OFFICER_21,2024-09-03 03:49:00,Standard Credit Review Met
APR-2024-000078,APP-2024-000101,2160000.0,OFFICER_43,2024-09-06 03:29:00,Standard Credit Review Met
APR-2024-000079,APP-2024-000102,1430000.0,OFFICER_37,2024-08-30 10:48:00,Standard Credit Review Met
APR-2024-000080,APP-2024-000103,1520000.0,OFFICER_26,2024-08-24 05:47:00,Standard Credit Review Met
APR-2024-000081,APP-2024-000104,3750000.0,OFFICER_50,2024-09-05 20:17:00,Standard Credit Review Met
APR-2024-000082,APP-2024-000106,7020000.0,OFFICER_15,2024-08-18 08:21:00,Standard Credit Review Met
APR-2024-000083,APP-2024-000108,2930000.0,OFFICER_31,2024-08-31 06:04:00,Standard Credit Review Met
APR-2024-000084,APP-2024-000109,6950000.0,OFFICER_34,2024-08-23 13:03:00,Standard Credit Review Met
APR-2024-000085,APP-2024-000111,6140000.0,OFFICER_34,2024-08-19 15:00:00,Standard Credit Review Met
APR-2024-000086,APP-2024-000113,5540000.0,OFFICER_24,2024-09-04 19:57:00,Standard Credit Review Met
APR-2024-000087,APP-2024-000115,6940000.0,OFFICER_39,2024-08-15 21:43:00,Standard Credit Review Met
APR-2024-000088,APP-2024-000116,6020000.0,OFFICER_15,2024-08-22 17:01:00,Standard Credit Review Met
APR-2024-000089,APP-2024-000117,7120000.0,OFFICER_34,2024-08-11 14:11:00,Standard Credit Review Met
APR-2024-000090,APP-2024-000118,7120000.0,OFFICER_27,2024-08-15 14:20:00,Standard Credit Review Met
APR-2024-000091,APP-2024-000119,6100000.0,OFFICER_13,2024-08-19 02:30:00,Standard Credit Review Met
APR-2024-000092,APP-2024-000121,3180000.0,OFFICER_49,2024-08-04 00:15:00,Standard Credit Review Met
APR-2024-000093,APP-2024-000123,4010000.0,OFFICER_33,2024-08-10 18:13:00,Standard Credit Review Met
APR-2024-000094,APP-2024-000126,5670000.0,OFFICER_35,2024-08-27 00:59:00,Standard Credit Review Met
APR-2024-000095,APP-2024-000127,3290000.0,OFFICER_16,2024-08-08 18:44:00,Standard Credit Review Met
APR-2024-000096,APP-2024-000128,2910000.0,OFFICER_32,2024-08-30 21:38:00,Standard Credit Review Met
APR-2024-000097,APP-2024-000130,4690000.0,OFFICER_41,2024-08-25 20:21:00,Standard Credit Review Met
APR-2024-000098,APP-2024-000132,6700000.0,OFFICER_27,2024-09-02 04:27:00,Standard Credit Review Met
APR-2024-000099,APP-2024-000133,3300000.0,OFFICER_37,2024-09-04 17:49:00,Standard Credit Review Met
APR-2024-000100,APP-2024-000135,2900000.0,OFFICER_39,2024-09-01 02:17:00,Standard Credit Review Met
APR-2024-000101,APP-2024-000136,5310000.0,OFFICER_41,2024-08-22 21:24:00,Standard Credit Review Met
APR-2024-000102,APP-2024-000137,3470000.0,OFFICER_31,2024-08-12 15:13:00,Standard Credit Review Met
APR-2024-000103,APP-2024-000139,5980000.0,OFFICER_25,2024-08-21 00:33:00,Standard Credit Review Met
APR-2024-000104,APP-2024-000140,1900000.0,OFFICER_41,2024-08-25 17:48:00,Standard Credit Review Met
APR-2024-000105,APP-2024-000142,780000.0,OFFICER_47,2024-08-14 12:44:00,Standard Credit Review Met
APR-2024-000106,APP-2024-000143,3850000.0,OFFICER_45,2024-08-24 17:33:00,Standard Credit Review Met
APR-2024-000107,APP-2024-000144,6000000.0,OFFICER_26,2024-08-18 22:29:00,Standard Credit Review Met
APR-2024-000108,APP-2024-000145,740000.0,OFFICER_44,2024-08-07 23:12:00,Standard Credit Review Met
APR-2024-000109,APP-2024-000146,2340000.0,OFFICER_47,2024-08-13 06:47:00,Standard Credit Review Met
APR-2024-000110,APP-2024-000148,1920000.0,OFFICER_10,2024-08-16 07:23:00,Standard Credit Review Met
APR-2024-000111,APP-2024-000149,5750000.0,OFFICER_28,2024-08-15 08:02:00,Standard Credit Review Met
APR-2024-000112,APP-2024-000150,4450000.0,OFFICER_40,2024-08-27 15:06:00,Standard Credit Review Met
APR-2024-000113,APP-2024-000151,3130000.0,OFFICER_40,2024-08-21 10:11:00,Standard Credit Review Met
APR-2024-000114,APP-2024-000152,2480000.0,OFFICER_46,2024-08-30 02:25:00,Standard Credit Review Met
APR-2024-000115,APP-2024-000153,3310000.0,OFFICER_15,2024-08-11 04:51:00,Standard Credit Review Met
APR-2024-000116,APP-2024-000154,5710000.0,OFFICER_43,2024-08-09 17:48:00,Standard Credit Review Met
APR-2024-000117,APP-2024-000155,1170000.0,OFFICER_29,2024-08-23 14:19:00,Standard Credit Review Met
APR-2024-000118,APP-2024-000156,6540000.0,OFFICER_50,2024-08-25 01:39:00,Standard Credit Review Met
APR-2024-000119,APP-2024-000157,4390000.0,OFFICER_21,2024-08-14 21:05:00,Standard Credit Review Met
APR-2024-000120,APP-2024-000158,3080000.0,OFFICER_48,2024-08-12 05:00:00,Standard Credit Review Met
APR-2024-000121,APP-2024-000159,7070000.0,OFFICER_39,2024-08-16 01:14:00,Standard Credit Review Met
APR-2024-000122,APP-2024-000160,4490000.0,OFFICER_37,2024-08-27 07:59:00,Standard Credit Review Met
APR-2024-000123,APP-2024-000161,1390000.0,OFFICER_19,2024-08-24 07:41:00,Standard Credit Review Met
APR-2024-000124,APP-2024-000162,7490000.0,OFFICER_38,2024-08-08 05:50:00,Standard Credit Review Met
APR-2024-000125,APP-2024-000164,2830000.0,OFFICER_15,2024-08-18 16:34:00,Standard Credit Review Met
APR-2024-000126,APP-2024-000165,6220000.0,OFFICER_11,2024-08-08 13:47:00,Standard Credit Review Met
APR-2024-000127,APP-2024-000168,1450000.0,OFFICER_40,2024-08-31 08:36:00,Standard Credit Review Met
APR-2024-000128,APP-2024-000169,6160000.0,OFFICER_47,2024-08-25 14:58:00,Standard Credit Review Met
APR-2024-000129,APP-2024-000171,6860000.0,OFFICER_20,2024-08-15 13:21:00,Standard Credit Review Met
APR-2024-000130,APP-2024-000172,3730000.0,OFFICER_45,2024-08-22 22:31:00,Standard Credit Review Met
APR-2024-000131,APP-2024-000173,1300000.0,OFFICER_17,2024-08-22 02:20:00,Standard Credit Review Met
APR-2024-000132,APP-2024-000174,4570000.0,OFFICER_39,2024-09-07 16:52:00,Standard Credit Review Met
APR-2024-000133,APP-2024-000175,5720000.0,OFFICER_50,2024-08-11 06:33:00,Standard Credit Review Met
APR-2024-000134,APP-2024-000176,720000.0,OFFICER_18,2024-09-04 01:13:00,Standard Credit Review Met
APR-2024-000135,APP-2024-000178,7190000.0,OFFICER_29,2024-08-05 20:38:00,Standard Credit Review Met
APR-2024-000136,APP-2024-000179,6100000.0,OFFICER_17,2024-08-06 17:26:00,Standard Credit Review Met
APR-2024-000137,APP-2024-000180,7040000.0,OFFICER_28,2024-08-13 20:53:00,Standard Credit Review Met
APR-2024-000138,APP-2024-000181,6540000.0,OFFICER_25,2024-09-01 08:26:00,Standard Credit Review Met
APR-2024-000139,APP-2024-000182,2870000.0,OFFICER_18,2024-08-28 04:24:00,Standard Credit Review Met
APR-2024-000140,APP-2024-000184,3820000.0,OFFICER_19,2024-08-18 00:18:00,Standard Credit Review Met
APR-2024-000141,APP-2024-000187,1050000.0,OFFICER_24,2024-08-19 06:44:00,Standard Credit Review Met
APR-2024-000142,APP-2024-000188,3120000.0,OFFICER_34,2024-08-10 10:47:00,Standard Credit Review Met
APR-2024-000143,APP-2024-000189,5460000.0,OFFICER_16,2024-08-23 01:08:00,Standard Credit Review Met
APR-2024-000144,APP-2024-000190,3810000.0,OFFICER_19,2024-08-06 16:58:00,Standard Credit Review Met
APR-2024-000145,APP-2024-000191,4340000.0,OFFICER_26,2024-09-06 20:09:00,Standard Credit Review Met
APR-2024-000146,APP-2024-000192,1650000.0,OFFICER_31,2024-08-23 22:25:00,Standard Credit Review Met
APR-2024-000147,APP-2024-000193,1910000.0,OFFICER_12,2024-08-23 10:40:00,Standard Credit Review Met
APR-2024-000148,APP-2024-000194,5870000.0,OFFICER_24,2024-08-09 07:40:00,Standard Credit Review Met
APR-2024-000149,APP-2024-000195,4350000.0,OFFICER_38,2024-08-17 03:48:00,Standard Credit Review Met
APR-2024-000150,APP-2024-000196,2880000.0,OFFICER_30,2024-08-25 09:57:00,Standard Credit Review Met
APR-2024-000151,APP-2024-000197,4710000.0,OFFICER_25,2024-08-14 11:23:00,Standard Credit Review Met
APR-2024-000152,APP-2024-000199,5030000.0,OFFICER_49,2024-08-14 05:05:00,Standard Credit Review Met
APR-2024-000153,APP-2024-000201,1990000.0,OFFICER_10,2024-08-21 20:16:00,Standard Credit Review Met
APR-2024-000154,APP-2024-000202,1440000.0,OFFICER_14,2024-09-02 09:43:00,Standard Credit Review Met
APR-2024-000155,APP-2024-000203,4530000.0,OFFICER_26,2024-08-20 18:19:00,Standard Credit Review Met
APR-2024-000156,APP-2024-000204,5820000.0,OFFICER_16,2024-09-06 09:12:00,Standard Credit Review Met
APR-2024-000157,APP-2024-000205,3570000.0,OFFICER_28,2024-08-19 18:22:00,Standard Credit Review Met
APR-2024-000158,APP-2024-000206,870000.0,OFFICER_46,2024-08-29 21:25:00,Standard Credit Review Met
APR-2024-000159,APP-2024-000207,3750000.0,OFFICER_48,2024-08-25 23:31:00,Standard Credit Review Met
APR-2024-000160,APP-2024-000209,4790000.0,OFFICER_50,2024-08-13 21:48:00,Standard Credit Review Met
APR-2024-000161,APP-2024-000210,5460000.0,OFFICER_38,2024-09-04 20:41:00,Standard Credit Review Met
APR-2024-000162,APP-2024-000211,7280000.0,OFFICER_28,2024-08-22 11:46:00,Standard Credit Review Met
APR-2024-000163,APP-2024-000214,4280000.0,OFFICER_26,2024-08-21 16:58:00,Standard Credit Review Met
APR-2024-000164,APP-2024-000216,3030000.0,OFFICER_24,2024-08-30 03:29:00,Standard Credit Review Met
APR-2024-000165,APP-2024-000217,2490000.0,OFFICER_10,2024-09-05 17:23:00,Standard Credit Review Met
APR-2024-000166,APP-2024-000220,1020000.0,OFFICER_16,2024-08-26 12:52:00,Standard Credit Review Met
APR-2024-000167,APP-2024-000221,5260000.0,OFFICER_49,2024-08-23 00:39:00,Standard Credit Review Met
APR-2024-000168,APP-2024-000223,990000.0,OFFICER_18,2024-08-26 09:41:00,Standard Credit Review Met
APR-2024-000169,APP-2024-000224,6280000.0,OFFICER_25,2024-08-05 09:31:00,Standard Credit Review Met
APR-2024-000170,APP-2024-000225,1320000.0,OFFICER_36,2024-08-15 12:29:00,Standard Credit Review Met
APR-2024-000171,APP-2024-000226,1610000.0,OFFICER_41,2024-08-27 23:09:00,Standard Credit Review Met
APR-2024-000172,APP-2024-000227,3510000.0,OFFICER_38,2024-08-19 08:02:00,Standard Credit Review Met
APR-2024-000173,APP-2024-000230,4880000.0,OFFICER_17,2024-08-17 01:25:00,Standard Credit Review Met
APR-2024-000174,APP-2024-000231,930000.0,OFFICER_13,2024-08-05 21:13:00,Standard Credit Review Met
APR-2024-000175,APP-2024-000234,7300000.0,OFFICER_19,2024-08-14 18:13:00,Standard Credit Review Met
APR-2024-000176,APP-2024-000235,510000.0,OFFICER_44,2024-08-05 08:54:00,Standard Credit Review Met
APR-2024-000177,APP-2024-000236,1000000.0,OFFICER_18,2024-08-28 05:07:00,Standard Credit Review Met
APR-2024-000178,APP-2024-000237,1580000.0,OFFICER_21,2024-08-14 07:37:00,Standard Credit Review Met
APR-2024-000179,APP-2024-000238,7190000.0,OFFICER_17,2024-08-12 04:47:00,Standard Credit Review Met
APR-2024-000180,APP-2024-000240,7190000.0,OFFICER_24,2024-08-27 18:06:00,Standard Credit Review Met
APR-2024-000181,APP-2024-000241,5600000.0,OFFICER_29,2024-08-12 23:50:00,Standard Credit Review Met
APR-2024-000182,APP-2024-000242,3150000.0,OFFICER_37,2024-08-29 00:03:00,Standard Credit Review Met
APR-2024-000183,APP-2024-000243,390000.0,OFFICER_15,2024-08-19 22:58:00,Standard Credit Review Met
APR-2024-000184,APP-2024-000245,840000.0,OFFICER_30,2024-08-19 19:40:00,Standard Credit Review Met
APR-2024-000185,APP-2024-000246,4990000.0,OFFICER_48,2024-08-30 16:18:00,Standard Credit Review Met
APR-2024-000186,APP-2024-000248,980000.0,OFFICER_38,2024-08-29 17:46:00,Standard Credit Review Met
APR-2024-000187,APP-2024-000249,7080000.0,OFFICER_36,2024-08-22 10:52:00,Standard Credit Review Met
APR-2024-000188,APP-2024-000250,6060000.0,OFFICER_33,2024-08-17 13:20:00,Standard Credit Review Met
APR-2024-000189,APP-2024-000251,1310000.0,OFFICER_15,2024-08-25 15:04:00,Standard Credit Review Met
APR-2024-000190,APP-2024-000252,2280000.0,OFFICER_45,2024-08-08 23:47:00,Standard Credit Review Met
APR-2024-000191,APP-2024-000253,3100000.0,OFFICER_36,2024-08-22 17:35:00,Standard Credit Review Met
APR-2024-000192,APP-2024-000254,2500000.0,OFFICER_28,2024-08-30 21:48:00,Standard Credit Review Met
APR-2024-000193,APP-2024-000257,6300000.0,OFFICER_45,2024-08-23 07:54:00,Standard Credit Review Met
APR-2024-000194,APP-2024-000258,6040000.0,OFFICER_45,2024-08-12 08:36:00,Standard Credit Review Met
APR-2024-000195,APP-2024-000259,5440000.0,OFFICER_48,2024-08-22 21:41:00,Standard Credit Review Met
APR-2024-000196,APP-2024-000260,5520000.0,OFFICER_32,2024-08-08 05:17:00,Standard Credit Review Met
APR-2024-000197,APP-2024-000262,510000.0,OFFICER_15,2024-08-15 02:09:00,Standard Credit Review Met
APR-2024-000198,APP-2024-000263,6060000.0,OFFICER_20,2024-08-14 12:26:00,Standard Credit Review Met
APR-2024-000199,APP-2024-000264,3440000.0,OFFICER_13,2024-08-13 23:20:00,Standard Credit Review Met
APR-2024-000200,APP-2024-000265,6140000.0,OFFICER_27,2024-08-09 19:03:00,Standard Credit Review Met
APR-2024-000201,APP-2024-000266,2000000.0,OFFICER_36,2024-08-31 13:31:00,Standard Credit Review Met
APR-2024-000202,APP-2024-000268,5080000.0,OFFICER_43,2024-08-23 03:18:00,Standard Credit Review Met
APR-2024-000203,APP-2024-000269,6990000.0,OFFICER_10,2024-08-04 07:25:00,Standard Credit Review Met
APR-2024-000204,APP-2024-000270,4730000.0,OFFICER_28,2024-08-16 06:49:00,Standard Credit Review Met
APR-2024-000205,APP-2024-000271,6780000.0,OFFICER_18,2024-08-08 00:31:00,Standard Credit Review Met
APR-2024-000206,APP-2024-000272,5450000.0,OFFICER_32,2024-08-28 22:14:00,Standard Credit Review Met
APR-2024-000207,APP-2024-000273,1770000.0,OFFICER_39,2024-08-15 23:02:00,Standard Credit Review Met
APR-2024-000208,APP-2024-000274,5960000.0,OFFICER_50,2024-09-05 10:36:00,Standard Credit Review Met
APR-2024-000209,APP-2024-000275,1080000.0,OFFICER_20,2024-08-17 03:25:00,Standard Credit Review Met
APR-2024-000210,APP-2024-000276,490000.0,OFFICER_37,2024-08-18 22:58:00,Standard Credit Review Met
APR-2024-000211,APP-2024-000277,5710000.0,OFFICER_15,2024-08-18 13:37:00,Standard Credit Review Met
APR-2024-000212,APP-2024-000278,3860000.0,OFFICER_31,2024-09-02 09:47:00,Standard Credit Review Met
APR-2024-000213,APP-2024-000279,3960000.0,OFFICER_42,2024-08-13 16:40:00,Standard Credit Review Met
APR-2024-000214,APP-2024-000280,1980000.0,OFFICER_25,2024-09-02 11:22:00,Standard Credit Review Met
APR-2024-000215,APP-2024-000281,520000.0,OFFICER_14,2024-08-09 08:12:00,Standard Credit Review Met
APR-2024-000216,APP-2024-000282,3660000.0,OFFICER_46,2024-09-03 20:31:00,Standard Credit Review Met
APR-2024-000217,APP-2024-000283,4700000.0,OFFICER_14,2024-08-20 20:20:00,Standard Credit Review Met
APR-2024-000218,APP-2024-000286,3900000.0,OFFICER_13,2024-08-05 09:29:00,Standard Credit Review Met
APR-2024-000219,APP-2024-000287,750000.0,OFFICER_49,2024-08-30 09:04:00,Standard Credit Review Met
APR-2024-000220,APP-2024-000288,1220000.0,OFFICER_12,2024-08-27 12:29:00,Standard Credit Review Met
APR-2024-000221,APP-2024-000290,4100000.0,OFFICER_13,2024-08-15 19:30:00,Standard Credit Review Met
APR-2024-000222,APP-2024-000292,4730000.0,OFFICER_38,2024-08-22 20:11:00,Standard Credit Review Met
APR-2024-000223,APP-2024-000293,350000.0,OFFICER_33,2024-08-24 16:39:00,Standard Credit Review Met
APR-2024-000224,APP-2024-000294,4170000.0,OFFICER_50,2024-08-15 13:49:00,Standard Credit Review Met
APR-2024-000225,APP-2024-000295,2840000.0,OFFICER_28,2024-08-11 10:06:00,Standard Credit Review Met
APR-2024-000226,APP-2024-000296,2340000.0,OFFICER_31,2024-08-28 21:58:00,Standard Credit Review Met
APR-2024-000227,APP-2024-000297,7380000.0,OFFICER_35,2024-08-25 21:09:00,Standard Credit Review Met
APR-2024-000228,APP-2024-000298,7030000.0,OFFICER_34,2024-08-30 22:05:00,Standard Credit Review Met
APR-2024-000229,APP-2024-000299,4090000.0,OFFICER_15,2024-09-06 04:42:00,Standard Credit Review Met
APR-2024-000230,APP-2024-000300,3060000.0,OFFICER_21,2024-08-23 11:01:00,Standard Credit Review Met
APR-2024-000231,APP-2024-000301,4940000.0,OFFICER_19,2024-08-15 15:12:00,Standard Credit Review Met
APR-2024-000232,APP-2024-000304,5750000.0,OFFICER_48,2024-08-06 21:21:00,Standard Credit Review Met
APR-2024-000233,APP-2024-000305,1890000.0,OFFICER_38,2024-08-09 05:11:00,Standard Credit Review Met
APR-2024-000234,APP-2024-000306,5240000.0,OFFICER_49,2024-08-23 11:43:00,Standard Credit Review Met
APR-2024-000235,APP-2024-000307,3410000.0,OFFICER_44,2024-08-30 23:50:00,Standard Credit Review Met
APR-2024-000236,APP-2024-000308,3680000.0,OFFICER_46,2024-08-17 15:57:00,Standard Credit Review Met
APR-2024-000237,APP-2024-000309,4040000.0,OFFICER_43,2024-08-25 09:49:00,Standard Credit Review Met
APR-2024-000238,APP-2024-000310,5390000.0,OFFICER_26,2024-08-10 06:51:00,Standard Credit Review Met
APR-2024-000239,APP-2024-000311,6650000.0,OFFICER_16,2024-08-31 15:55:00,Standard Credit Review Met
APR-2024-000240,APP-2024-000312,3100000.0,OFFICER_27,2024-09-01 03:18:00,Standard Credit Review Met
APR-2024-000241,APP-2024-000313,6990000.0,OFFICER_24,2024-09-01 16:09:00,Standard Credit Review Met
APR-2024-000242,APP-2024-000315,5710000.0,OFFICER_25,2024-08-21 01:25:00,Standard Credit Review Met
APR-2024-000243,APP-2024-000316,1340000.0,OFFICER_16,2024-08-10 11:14:00,Standard Credit Review Met
APR-2024-000244,APP-2024-000317,5400000.0,OFFICER_40,2024-09-01 04:08:00,Standard Credit Review Met
APR-2024-000245,APP-2024-000319,4580000.0,OFFICER_26,2024-08-22 00:57:00,Standard Credit Review Met
APR-2024-000246,APP-2024-000320,740000.0,OFFICER_37,2024-09-06 04:35:00,Standard Credit Review Met
APR-2024-000247,APP-2024-000321,6030000.0,OFFICER_13,2024-08-28 09:15:00,Standard Credit Review Met
APR-2024-000248,APP-2024-000322,1570000.0,OFFICER_14,2024-08-23 20:50:00,Standard Credit Review Met
APR-2024-000249,APP-2024-000323,4180000.0,OFFICER_50,2024-08-29 15:38:00,Standard Credit Review Met
