beneficiary_id,state,sector,gender,age_band,employment_category
BEN-000083,Kaduna,Agriculture,Female,26-35,Self-Employed
BEN-000084,Kano,Light Manufacturing,Male,18-25,Formal Sector
BEN-000085,Kaduna,Tech & Services,Female,50+,Self-Employed
BEN-000086,Enugu,Healthcare,Male,26-35,Self-Employed
BEN-000087,Kano,Healthcare,Female,36-50,Self-Employed
BEN-000088,FCT,Retail Trade,Male,36-50,Self-Employed
BEN-000089,Kaduna,Tech & Services,Female,36-50,Micro-Enterprise
BEN-000090,Nasarawa,Healthcare,Male,26-35,Micro-Enterprise
BEN-000091,Kaduna,Healthcare,Male,50+,Self-Employed
BEN-000092,FCT,Tech & Services,Male,50+,Self-Employed
BEN-000093,FCT,Tech & Services,Male,36-50,Self-Employed
BEN-000094,FCT,Retail Trade,Male,26-35,Self-Employed
BEN-000095,FCT,Retail Trade,Female,36-50,Micro-Enterprise
BEN-000096,Rivers,Light Manufacturing,Female,50+,Self-Employed
BEN-000097,Kano,Agriculture,Male,50+,Self-Employed
BEN-000098,Bauchi,Healthcare,Male,18-25,Formal Sector
BEN-000099,Katsina,Tech & Services,Female,50+,Self-Employed
BEN-000100,Enugu,Agriculture,Female,26-35,Formal Sector
BEN-000101,Kaduna,Tech & Services,Female,18-25,Self-Employed
BEN-000102,Kaduna,Healthcare,Male,26-35,Self-Employed
BEN-000103,FCT,Retail Trade,Male,26-35,Self-Employed
BEN-000104,FCT,Agriculture,Male,26-35,Micro-Enterprise
BEN-000105,Kano,Healthcare,Female,36-50,Formal Sector
BEN-000106,Rivers,Agriculture,Male,50+,Micro-Enterprise
BEN-000107,Kaduna,Agriculture,Female,26-35,Formal Sector
BEN-000108,FCT,Retail Trade,Male,50+,Micro-Enterprise
BEN-000109,Nasarawa,Retail Trade,Male,18-25,Self-Employed
BEN-000110,Kaduna,Tech & Services,Female,50+,Formal Sector
BEN-000111,Lagos,Healthcare,Female,36-50,Self-Employed
BEN-000112,Kano,Agriculture,Male,50+,Micro-Enterprise
BEN-000113,Kano,Agriculture,Female,18-25,Self-Employed
BEN-000114,Kaduna,Retail Trade,Female,36-50,Self-Employed
BEN-000115,Nasarawa,Tech & Services,Female,36-50,Self-Employed
BEN-000116,Kaduna,Healthcare,Female,36-50,Self-Employed
BEN-000117,Kaduna,Tech & Services,Female,26-35,Micro-Enterprise
BEN-000118,Lagos,Light Manufacturing,Female,26-35,Self-Employed
BEN-000119,Oyo,Tech & Services,Male,26-35,Micro-Enterprise
BEN-000120,Oyo,Retail Trade,Female,26-35,Self-Employed
BEN-000121,FCT,Retail Trade,Female,26-35,Self-Employed
BEN-000122,Lagos,Light Manufacturing,Male,18-25,Self-Employed
BEN-000123,Kaduna,Tech & Services,Male,26-35,Micro-Enterprise
BEN-000124,FCT,Healthcare,Female,26-35,Self-Employed
BEN-000125,Nasarawa,Retail Trade,Male,26-35,Self-Employed
BEN-000126,Kaduna,Agriculture,Male,36-50,Self-Employed
BEN-000127,Kano,Light Manufacturing,Male,36-50,Micro-Enterprise
BEN-000128,Kaduna,Light Manufacturing,Female,18-25,Self-Employed
BEN-000129,Oyo,Agriculture,Female,50+,Self-Employed
BEN-000130,Katsina,Retail Trade,Female,26-35,Micro-Enterprise
BEN-000131,Kaduna,Light Manufacturing,Male,36-50,Micro-Enterprise
BEN-000132,Lagos,Tech & Services,Male,26-35,Self-Employed
BEN-000133,Kano,Agriculture,Female,26-35,Self-Employed
BEN-000134,Nasarawa,Retail Trade,Female,26-35,Self-Employed
BEN-000135,FCT,Retail Trade,Female,26-35,Self-Employed
BEN-000136,Lagos,Retail Trade,Female,26-35,Self-Employed
BEN-000137,FCT,Healthcare,Male,26-35,Self-Employed
BEN-000138,FCT,Healthcare,Male,50+,Self-Employed
BEN-000139,Kano,Tech & Services,Female,18-25,Micro-Enterprise
BEN-000140,Kaduna,Agriculture,Male,26-35,Self-Employed
BEN-000141,Bauchi,Retail Trade,Female,50+,Self-Employed
BEN-000142,Bauchi,Light Manufacturing,Female,36-50,Self-Employed
BEN-000143,FCT,Healthcare,Female,26-35,Self-Employed
BEN-000144,FCT,Agriculture,Female,26-35,Micro-Enterprise
BEN-000145,Oyo,Healthcare,Male,50+,Self-Employed
BEN-000146,Lagos,Retail Trade,Male,26-35,Self-Employed
BEN-000147,Kano,Retail Trade,Male,18-25,Self-Employed
BEN-000148,Kaduna,Light Manufacturing,Male,50+,Micro-Enterprise
BEN-000149,Bauchi,Healthcare,Female,50+,Self-Employed
BEN-000150,Kaduna,Tech & Services,Female,18-25,Micro-Enterprise
BEN-000151,Kano,Light Manufacturing,Male,36-50,Micro-Enterprise
BEN-000152,Lagos,Tech & Services,Male,26-35,Micro-Enterprise
BEN-000153,FCT,Light Manufacturing,Female,26-35,Self-Employed
BEN-000154,Lagos,Agriculture,Female,26-35,Self-Employed
BEN-000155,Katsina,Light Manufacturing,Female,26-35,Self-Employed
BEN-000156,Rivers,Retail Trade,Male,36-50,Micro-Enterprise
BEN-000157,Lagos,Light Manufacturing,Female,26-35,Self-Employed
BEN-000158,Kano,Agriculture,Male,26-35,Micro-Enterprise
BEN-000159,Nasarawa,Agriculture,Male,26-35,Self-Employed
BEN-000160,FCT,Tech & Services,Male,36-50,Self-Employed
BEN-000161,Kano,Tech & Services,Female,18-25,Self-Employed
BEN-000162,Lagos,Retail Trade,Male,26-35,Self-Employed
BEN-000163,Katsina,Retail Trade,Female,26-35,Self-Employed
BEN-000164,Lagos,Agriculture,Male,36-50,Self-Employed
BEN-000165,Kaduna,Tech & Services,Female,18-25,Micro-Enterprise
BEN-000166,Oyo,Retail Trade,Male,18-25,Self-Employed
BEN-000167,Nasarawa,Light Manufacturing,Male,18-25,Formal Sector
BEN-000168,Nasarawa,Agriculture,Male,26-35,Self-Employed
BEN-000169,Enugu,Agriculture,Female,26-35,Micro-Enterprise
BEN-000170,Enugu,Light Manufacturing,Male,26-35,Formal Sector
BEN-000171,Kano,Retail Trade,Male,50+,Self-Employed
BEN-000172,Kaduna,Light Manufacturing,Male,26-35,Self-Employed
BEN-000173,FCT,Agriculture,Male,26-35,Micro-Enterprise
BEN-000174,Kaduna,Healthcare,Male,50+,Self-Employed
BEN-000175,Lagos,Tech & Services,Female,26-35,Self-Employed
BEN-000176,Kano,Light Manufacturing,Male,36-50,Self-Employed
BEN-000177,Kaduna,Healthcare,Male,36-50,Self-Employed
BEN-000178,Kano,Light Manufacturing,Male,26-35,Self-Employed
BEN-000179,FCT,Light Manufacturing,Male,26-35,Micro-Enterprise
BEN-000180,Bauchi,Retail Trade,Male,26-35,Self-Employed
BEN-000181,Kaduna,Tech & Services,Female,36-50,Self-Employed
BEN-000182,Lagos,Light Manufacturing,Male,36-50,Self-Employed
BEN-000183,Kaduna,Healthcare,Male,36-50,Self-Employed
BEN-000184,Kaduna,Light Manufacturing,Female,50+,Self-Employed
BEN-000185,FCT,Retail Trade,Male,18-25,Self-Employed
BEN-000186,Kaduna,Healthcare,Female,26-35,Micro-Enterprise
BEN-000187,Katsina,Healthcare,Male,26-35,Self-Employed
BEN-000188,Lagos,Tech & Services,Female,26-35,Micro-Enterprise
BEN-000189,FCT,Healthcare,Male,50+,Micro-Enterprise
BEN-000190,Kaduna,Retail Trade,Female,50+,Self-Employed
BEN-000191,Kaduna,Retail Trade,Male,26-35,Self-Employed
BEN-000192,Enugu,Agriculture,Male,36-50,Formal Sector
BEN-000193,Lagos,Healthcare,Female,36-50,Micro-Enterprise
BEN-000194,Lagos,Retail Trade,Female,26-35,Self-Employed
BEN-000195,Enugu,Retail Trade,Female,18-25,Self-Employed
BEN-000196,Kano,Light Manufacturing,Female,26-35,Micro-Enterprise
BEN-000197,Kaduna,Healthcare,Female,26-35,Micro-Enterprise
BEN-000198,FCT,Retail Trade,Male,36-50,Self-Employed
BEN-000199,Enugu,Retail Trade,Male,36-50,Self-Employed
BEN-000200,Katsina,Light Manufacturing,Male,26-35,Self-Employed
BEN-000201,Enugu,Healthcare,Male,26-35,Self-Employed
BEN-000202,Kaduna,Tech & Services,Male,26-35,Self-Employed
BEN-000203,Kano,Retail Trade,Male,26-35,Self-Employed
BEN-000204,FCT,Healthcare,Female,26-35,Self-Employed
BEN-000205,Oyo,Healthcare,Male,50+,Self-Employed
BEN-000206,Kaduna,Healthcare,Male,50+,Self-Employed
BEN-000207,Bauchi,Agriculture,Male,26-35,Micro-Enterprise
BEN-000208,Rivers,Healthcare,Female,36-50,Micro-Enterprise
BEN-000209,Bauchi,Retail Trade,Male,26-35,Formal Sector
BEN-000210,Bauchi,Retail Trade,Female,50+,Self-Employed
BEN-000211,FCT,Healthcare,Female,26-35,Self-Employed
BEN-000212,FCT,Healthcare,Male,36-50,Micro-Enterprise
BEN-000213,Kano,Retail Trade,Female,36-50,Self-Employed
BEN-000214,Lagos,Healthcare,Male,36-50,Self-Employed
BEN-000215,Rivers,Tech & Services,Female,36-50,Self-Employed
BEN-000216,Enugu,Healthcare,Female,36-50,Micro-Enterprise
BEN-000217,Kano,Light Manufacturing,Female,18-25,Micro-Enterprise
BEN-000218,Lagos,Light Manufacturing,Male,18-25,Self-Employed
BEN-000219,Kaduna,Healthcare,Male,26-35,Self-Employed
BEN-000220,FCT,Agriculture,Male,26-35,Micro-Enterprise
BEN-000221,Kaduna,Healthcare,Male,26-35,Self-Employed
BEN-000222,Kano,Agriculture,Male,50+,Self-Employed
BEN-000223,Kaduna,Agriculture,Female,26-35,Formal Sector
BEN-000224,Oyo,Light Manufacturing,Female,50+,Micro-Enterprise
BEN-000225,Enugu,Healthcare,Female,36-50,Self-Employed
BEN-000226,FCT,Healthcare,Female,26-35,Self-Employed
BEN-000227,Kano,Retail Trade,Male,18-25,Formal Sector
BEN-000228,Nasarawa,Healthcare,Male,50+,Micro-Enterprise
BEN-000229,Katsina,Retail Trade,Female,26-35,Self-Employed
BEN-000230,FCT,Agriculture,Male,36-50,Self-Employed
BEN-000231,Kano,Agriculture,Female,26-35,Self-Employed
BEN-000232,Nasarawa,Light Manufacturing,Male,26-35,Self-Employed
BEN-000233,Nasarawa,Retail Trade,Female,36-50,Self-Employed
BEN-000234,Kaduna,Tech & Services,Male,26-35,Micro-Enterprise
BEN-000235,FCT,Healthcare,Male,36-50,Self-Employed
BEN-000236,Nasarawa,Healthcare,Male,26-35,Micro-Enterprise
BEN-000237,Kano,Retail Trade,Female,36-50,Micro-Enterprise
BEN-000238,Lagos,Tech & Services,Female,36-50,Micro-Enterprise
BEN-000239,Nasarawa,Agriculture,Female,18-25,Micro-Enterprise
BEN-000240,Kaduna,Healthcare,Female,36-50,Self-Employed
BEN-000241,Nasarawa,Retail Trade,Female,26-35,Formal Sector
BEN-000242,Kaduna,Retail Trade,Female,26-35,Self-Employed
BEN-000243,Kano,Light Manufacturing,Female,26-35,Self-Employed
BEN-000244,Enugu,Healthcare,Female,18-25,Micro-Enterprise
BEN-000245,Lagos,Retail Trade,Male,26-35,Formal Sector
BEN-000246,Kaduna,Tech & Services,Male,36-50,Formal Sector
BEN-000247,Kaduna,Tech & Services,Male,26-35,Self-Employed
BEN-000248,Enugu,Light Manufacturing,Female,50+,Micro-Enterprise
BEN-000249,FCT,Light Manufacturing,Male,36-50,Self-Employed
BEN-000250,Kaduna,Light Manufacturing,Male,18-25,Self-Employed
BEN-000251,FCT,Tech & Services,Male,26-35,Self-Employed
BEN-000252,Oyo,Healthcare,Male,36-50,Micro-Enterprise
BEN-000253,Kano,Light Manufacturing,Male,50+,Self-Employed
BEN-000254,FCT,Healthcare,Female,36-50,Formal Sector
BEN-000255,Oyo,Healthcare,Female,26-35,Micro-Enterprise
BEN-000256,Kano,Healthcare,Male,36-50,Micro-Enterprise
BEN-000257,Lagos,Tech & Services,Male,50+,Self-Employed
BEN-000258,Nasarawa,Healthcare,Male,26-35,Self-Employed
BEN-000259,Kaduna,Healthcare,Male,18-25,Formal Sector
BEN-000260,Enugu,Agriculture,Male,26-35,Micro-Enterprise
BEN-000261,Kano,Agriculture,Male,26-35,Self-Employed
BEN-000262,Lagos,Healthcare,Female,26-35,Formal Sector
BEN-000263,Kaduna,Healthcare,Male,26-35,Self-Employed
BEN-000264,Enugu,Light Manufacturing,Female,36-50,Micro-Enterprise
BEN-000265,Kaduna,Light Manufacturing,Male,26-35,Formal Sector
BEN-000266,Kaduna,Tech & Services,Female,26-35,Self-Employed
BEN-000267,Kano,Retail Trade,Female,36-50,Self-Employed
BEN-000268,Nasarawa,Retail Trade,Male,18-25,Self-Employed
BEN-000269,Rivers,Retail Trade,Female,18-25,Micro-Enterprise
BEN-000270,Bauchi,Healthcare,Female,18-25,Formal Sector
BEN-000271,Kaduna,Agriculture,Female,36-50,Micro-Enterprise
BEN-000272,Oyo,Light Manufacturing,Male,36-50,Self-Employed
BEN-000273,Lagos,Retail Trade,Male,18-25,Self-Employed
BEN-000274,FCT,Retail Trade,Male,26-35,Self-Employed
BEN-000275,Nasarawa,Retail Trade,Male,26-35,Micro-Enterprise
BEN-000276,Nasarawa,Healthcare,Female,26-35,Self-Employed
BEN-000277,Rivers,Healthcare,Female,50+,Micro-Enterprise
BEN-000278,Kaduna,Light Manufacturing,Male,26-35,Self-Employed
BEN-000279,Nasarawa,Agriculture,Female,36-50,Micro-Enterprise
BEN-000280,FCT,Tech & Services,Female,36-50,Self-Employed
BEN-000281,Lagos,Light Manufacturing,Female,26-35,Micro-Enterprise
BEN-000282,FCT,Retail Trade,Female,36-50,Micro-Enterprise
BEN-000283,Bauchi,Retail Trade,Female,26-35,Micro-Enterprise
BEN-000284,Enugu,Agriculture,Male,36-50,Formal Sector
BEN-000285,Kaduna,Tech & Services,Male,26-35,Self-Employed
BEN-000286,Kaduna,Agriculture,Male,36-50,Self-Employed
BEN-000287,Lagos,Agriculture,Female,18-25,Micro-Enterprise
BEN-000288,Kano,Tech & Services,Male,36-50,Self-Employed
BEN-000289,Oyo,Tech & Services,Female,26-35,Self-Employed
BEN-000290,Kaduna,Retail Trade,Male,36-50,Self-Employed
BEN-000291,FCT,Light Manufacturing,Female,26-35,Self-Employed
BEN-000292,FCT,Light Manufacturing,Female,36-50,Self-Employed
BEN-000293,Nasarawa,Tech & Services,Male,36-50,Self-Employed
BEN-000294,Lagos,Tech & Services,Male,18-25,Self-Employed
BEN-000295,Katsina,Healthcare,Female,26-35,Self-Employed
BEN-000296,Kaduna,Agriculture,Male,18-25,Self-Employed
BEN-000297,Bauchi,Light Manufacturing,Male,50+,Micro-Enterprise
BEN-000298,Nasarawa,Light Manufacturing,Male,36-50,Self-Employed
BEN-000299,Kaduna,Healthcare,Male,50+,Micro-Enterprise
BEN-000300,Kaduna,Healthcare,Male,36-50,Self-Employed
BEN-000301,Nasarawa,Retail Trade,Female,50+,Self-Employed
BEN-000302,Kaduna,Retail Trade,Female,36-50,Self-Employed
BEN-000303,Kaduna,Agriculture,Female,36-50,Self-Employed
BEN-000304,Enugu,Healthcare,Female,26-35,Self-Employed
BEN-000305,Kaduna,Agriculture,Female,50+,Micro-Enterprise
BEN-000306,Kaduna,Agriculture,Male,36-50,Micro-Enterprise
BEN-000307,Katsina,Light Manufacturing,Female,36-50,Micro-Enterprise
BEN-000308,FCT,Light Manufacturing,Male,26-35,Micro-Enterprise
BEN-000309,Kano,Agriculture,Male,26-35,Micro-Enterprise
BEN-000310,FCT,Agriculture,Female,26-35,Self-Employed
BEN-000311,Kaduna,Light Manufacturing,Female,36-50,Micro-Enterprise
BEN-000312,FCT,Light Manufacturing,Female,50+,Micro-Enterprise
BEN-000313,Katsina,Healthcare,Male,26-35,Self-Employed
BEN-000314,Lagos,Tech & Services,Male,26-35,Self-Employed
BEN-000315,Rivers,Tech & Services,Female,18-25,Self-Employed
BEN-000316,Kaduna,Healthcare,Female,26-35,Formal Sector
BEN-000317,Kaduna,Healthcare,Male,26-35,Self-Employed
BEN-000318,Enugu,Healthcare,Male,26-35,Micro-Enterprise
BEN-000319,Lagos,Retail Trade,Female,36-50,Self-Employed
BEN-000320,FCT,Agriculture,Female,18-25,Micro-Enterprise
BEN-000321,Oyo,Agriculture,Female,26-35,Formal Sector
BEN-000322,FCT,Agriculture,Male,26-35,Self-Employed
BEN-000323,Kaduna,Healthcare,Female,26-35,Self-Employed
BEN-000324,Enugu,Retail Trade,Male,50+,Micro-Enterprise
BEN-000325,Lagos,Light Manufacturing,Female,26-35,Micro-Enterprise
BEN-000326,FCT,Retail Trade,Female,36-50,Self-Employed
BEN-000327,FCT,Healthcare,Male,36-50,Micro-Enterprise
BEN-000328,Kano,Agriculture,Male,26-35,Self-Employed
BEN-000329,Kano,Light Manufacturing,Male,26-35,Self-Employed
BEN-000330,FCT,Retail Trade,Male,26-35,Micro-Enterprise
BEN-000331,FCT,Healthcare,Female,36-50,Formal Sector
BEN-000332,Kaduna,Light Manufacturing,Female,26-35,Formal Sector
BEN-000333,Oyo,Tech & Services,Male,36-50,Self-Employed
BEN-000334,Kano,Light Manufacturing,Male,26-35,Self-Employed
BEN-000335,Nasarawa,Tech & Services,Female,26-35,Self-Employed
BEN-000336,Katsina,Retail Trade,Female,26-35,Self-Employed
BEN-000337,Kaduna,Retail Trade,Female,36-50,Self-Employed
BEN-000338,Rivers,Tech & Services,Male,26-35,Formal Sector
BEN-000339,Kaduna,Agriculture,Male,26-35,Self-Employed
BEN-000340,Nasarawa,Tech & Services,Male,36-50,Micro-Enterprise
BEN-000341,Katsina,Healthcare,Male,50+,Self-Employed
BEN-000342,Rivers,Tech & Services,Male,36-50,Self-Employed
BEN-000343,Kano,Agriculture,Female,26-35,Self-Employed
BEN-000344,Kaduna,Tech & Services,Male,26-35,Self-Employed
BEN-000345,Kaduna,Light Manufacturing,Male,26-35,Micro-Enterprise
BEN-000346,Kano,Retail Trade,Female,26-35,Formal Sector
BEN-000347,FCT,Tech & Services,Female,26-35,Formal Sector
BEN-000348,Kaduna,Retail Trade,Female,36-50,Self-Employed
BEN-000349,Rivers,Light Manufacturing,Female,26-35,Self-Employed
BEN-000350,FCT,Retail Trade,Male,26-35,Formal Sector
BEN-000351,Lagos,Retail Trade,Female,18-25,Micro-Enterprise
BEN-000352,Katsina,Agriculture,Female,36-50,Self-Employed
BEN-000353,Lagos,Agriculture,Female,36-50,Self-Employed
BEN-000354,FCT,Tech & Services,Male,50+,Self-Employed
BEN-000355,Bauchi,Tech & Services,Male,26-35,Self-Employed
BEN-000356,Kaduna,Healthcare,Male,26-35,Self-Employed
BEN-000357,FCT,Healthcare,Female,26-35,Self-Employed
BEN-000358,Bauchi,Healthcare,Female,26-35,Self-Employed
BEN-000359,Kaduna,Healthcare,Male,26-35,Self-Employed
BEN-000360,Rivers,Tech & Services,Female,26-35,Self-Employed
BEN-000361,Kano,Tech & Services,Male,26-35,Self-Employed
BEN-000362,FCT,Healthcare,Female,26-35,Self-Employed
BEN-000363,FCT,Tech & Services,Male,26-35,Self-Employed
BEN-000364,Bauchi,Retail Trade,Male,26-35,Micro-Enterprise
BEN-000365,Lagos,Retail Trade,Male,26-35,Self-Employed
BEN-000366,Nasarawa,Healthcare,Female,36-50,Formal Sector
BEN-000367,FCT,Light Manufacturing,Male,26-35,Self-Employed
BEN-000368,Kano,Healthcare,Male,26-35,Self-Employed
BEN-000369,Rivers,Light Manufacturing,Male,26-35,Self-Employed
BEN-000370,Oyo,Healthcare,Male,18-25,Micro-Enterprise
BEN-000371,Bauchi,Retail Trade,Male,26-35,Micro-Enterprise
BEN-000372,Kaduna,Tech & Services,Female,36-50,Self-Employed
BEN-000373,FCT,Agriculture,Female,18-25,Self-Employed
BEN-000374,Kaduna,Tech & Services,Male,36-50,Self-Employed
BEN-000375,Kaduna,Light Manufacturing,Female,36-50,Self-Employed
BEN-000376,Kaduna,Tech & Services,Female,26-35,Self-Employed
BEN-000377,Kano,Light Manufacturing,Female,26-35,Self-Employed
BEN-000378,Kaduna,Retail Trade,Male,18-25,Formal Sector
BEN-000379,Kano,Agriculture,Female,36-50,Self-Employed
BEN-000380,Kano,Tech & Services,Female,26-35,Self-Employed
BEN-000381,Kaduna,Retail Trade,Male,18-25,Self-Employed
BEN-000382,Kaduna,Healthcare,Female,36-50,Micro-Enterprise
BEN-000383,Enugu,Light Manufacturing,Male,18-25,Self-Employed
BEN-000384,Kaduna,Light Manufacturing,Female,26-35,Self-Employed
BEN-000385,Kano,Tech & Services,Male,26-35,Micro-Enterprise
BEN-000386,Enugu,Light Manufacturing,Female,26-35,Micro-Enterprise
BEN-000387,Kano,Retail Trade,Female,26-35,Formal Sector
BEN-000388,Rivers,Tech & Services,Male,26-35,Micro-Enterprise
BEN-000389,Kano,Tech & Services,Male,26-35,Self-Employed
BEN-000390,Rivers,Light Manufacturing,Female,26-35,Self-Employed
BEN-000391,Kano,Light Manufacturing,Female,36-50,Micro-Enterprise
BEN-000392,Kaduna,Healthcare,Male,26-35,Micro-Enterprise
BEN-000393,FCT,Retail Trade,Female,36-50,Micro-Enterprise
BEN-000394,Katsina,Tech & Services,Male,26-35,Micro-Enterprise
BEN-000395,Kano,Retail Trade,Female,36-50,Micro-Enterprise
BEN-000396,Rivers,Healthcare,Female,26-35,Micro-Enterprise
BEN-000397,Nasarawa,Tech & Services,Female,26-35,Formal Sector
BEN-000398,FCT,Light Manufacturing,Female,36-50,Self-Employed
BEN-000399,Lagos,Retail Trade,Male,26-35,Micro-Enterprise
BEN-000400,Katsina,Light Manufacturing,Male,36-50,Self-Employed
BEN-000401,Kaduna,Retail Trade,Female,26-35,Micro-Enterprise
BEN-000402,Kaduna,Tech & Services,Male,36-50,Self-Employed
BEN-000403,Kano,Tech & Services,Female,26-35,Micro-Enterprise
BEN-000404,Oyo,Tech & Services,Female,26-35,Self-Employed
BEN-000405,Kaduna,Healthcare,Female,50+,Self-Employed
BEN-000406,Nasarawa,Light Manufacturing,Male,18-25,Self-Employed
BEN-000407,FCT,Retail Trade,Male,18-25,Micro-Enterprise
BEN-000408,Oyo,Agriculture,Female,26-35,Self-Employed
BEN-000409,Enugu,Light Manufacturing,Female,50+,Micro-Enterprise
BEN-000410,Rivers,Retail Trade,Female,26-35,Self-Employed
BEN-000411,Kano,Healthcare,Female,26-35,Self-Employed
